Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FFT Surveys and Treatment Boundary Lay-out in the Mackenzie FD,10005-40/SU21DMK002,ITT,2020/05/12,1,2020/05/21,N/A,,,,$0.00,2020/05/25
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FFT Surveys and Treatment Boundary Lay-out in the Mackenzie FD,10005-40/SU21DMK002,ITT,2020/05/12,1,2020/05/21,N/A,,,,$0.00,2020/05/25
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Bear Proof Steel Storage Container (Revelstoke),ITQ-006219,Itq,2020/05/12,1,2020/05/21,S C S Steel Container Systems Inc.,Nanaimo,British Columbia,Canada,"$25,547.54",2020/05/25
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",DCK Forest Service Road Consultant,CS21LMN302,ITT,2020/05/14,1,2020/05/19,Bushtech BC Ltd,Chilliwack,British Columbia,Canada,"$62,000.00",2020/05/25
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms 6.5,ITQ-006218,Itq,2020/05/12,0,2020/05/20,CDW Canada Inc,Etobicoke,Ontario,Canada,"$239,366.02",2020/05/26
Procurement Services Branch,Ministry of Citizens' Services,Red Hat JBoss Web Server w/Management Subscription (Victoria),ITQ-006223,Itq,2020/05/19,0,2020/05/25,Myra Systems Corp,Victoria,British Columbia,Canada,"$7,172.84",2020/05/26
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Training/Data Collection - Stand Level Biodiversity Evaluations,1070-30/OT20FHQ330,RQU,2020/03/12,1,2020/03/18,Integra Forest Consulting Ltd.,Sooke,British Columbia,Canada,$0.00,2020/05/27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Training/Data Collection - Stand Level Biodiversity Evaluations,1070-30/OT20FHQ330,RQU,2020/03/12,1,2020/03/18,Barry Elliot,Burns Lake,British Columbia,Canada,$0.00,2020/05/27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Training/Data Collection - Stand Level Biodiversity Evaluations,1070-30/OT20FHQ330,RQU,2020/03/12,1,2020/03/18,Chartwell Consultants Ltd.,North Vancouver,British Columbia,Canada,$0.00,2020/05/27
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Training/Data Collection - Stand Level Biodiversity Evaluations,1070-30/OT20FHQ330,RQU,2020/03/12,1,2020/03/18,Strategic Natural Resource Consultants Inc.,Campbell River,British Columbia,Canada,$0.00,2020/05/27
