Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Ministry of Transportation and Infrastructure,,As & When General Engineering Services for Highway Design- Less Complex Assignments,01052023,Request for Proposal,2023-01-05,0,2023-02-02,Associated Engineering (B.C.) Ltd.,,"$995,000.00",2023-04-11
Ministry of Transportation and Infrastructure,,As & When General Engineering Services for Highway Design- Less Complex Assignments,01052023,Request for Proposal,2023-01-05,0,2023-02-02,Parsons Inc.,,"$995,000.00",2023-04-11
Ministry of Transportation and Infrastructure,,PTB-2023-01 Professional Services and Data Analysis,RFP-PTB230117,Request for Proposal,2023-01-17,0,2023-02-08,Acuere Consulting Inc.,"6540 Roberts St, Suite 255, Burnaby, British Columbia","$300,000.00",2023-06-02
Ministry of Transportation and Infrastructure,,Communications & Engagement Services,159495,Request for Proposal,2023-02-21,1,2023-03-21,ISL Engineering and Land Services Ltd.,"201 - 3999 Henning Drive, Burnaby BC  V5C 6P9","$1,000,000.00",2023-06-21
Ministry of Transportation and Infrastructure,,Development Services,PLMB-DEVS-01,Request for Proposal,entered 2023-06-30,0,    ,Colliers Strategy and Consulting Inc.,"200 Granville Street, 19th Floor Vancouver BC V6C 2R6","$2,000,000.00",2023-04-24
Ministry of Transportation and Infrastructure,,Transportation Consultants,ON-003692,Request for Proposal,2021-09-23,3,2021-10-25,Access Planning ,"50 West 17th Avenue, Vancouver BC V5Y 1Z4","$144,000.00",2023-04-28
Ministry of Transportation and Infrastructure,,RISP 41182 General Engineering Services for Structural Asset Management and Design Northern Region 2022,RFP-AMB-RISP41182,Request for Proposal,2022-12-15,1,2023-01-26,Stantec Architecture Ltd.,"#300 - 175 2nd Avenue, Kamloops, BC V2C 5W1","$950,000.00",2023-06-09
Ministry of Transportation and Infrastructure,,RISP 41182 General Engineering Services for Structural Asset Management and Design Northern Region 2022,RFP-AMB-RISP41182,Request for Proposal,2022-12-15,1,2023-01-26,Morrison Hershfield,,"$950,000.00",2023-06-12
Ministry of Transportation and Infrastructure,,Earthquake Early Warning Station and Support Services,8675,Request for Proposal,entered 2023-06-28,0,    ,Nanometrics,"3001 Solandt Road, Kanata ON K2K 2M6","$1,423,800.00",2023-05-26
Ministry of Transportation and Infrastructure,,Request for Proposal (RFP) Real Estate Advisory Services,PLMB-REAS-02,Request for Proposal,2022-11-10,2,2022-12-09,EY LLP,"1066 W Hastings St 
Vancouver BC 
V6E 3X2","$2,000,000.00",2023-06-22
Ministry of Transportation and Infrastructure,,Communications & Engagement Services,159495,Request for Proposal,2023-02-21,1,2023-03-21,Kirk & Co.,"610 - 999 West Hastings Street, Vancouver BC  V6C 2W2","$1,000,000.00",2023-06-23
Ministry of Transportation and Infrastructure,,Request for Proposal (RFP) Real Estate Advisory Services,PLMB-REAS-02,Request for Proposal,2022-11-10,2,2022-12-09,PwC,"Bentall 5 
Vancouver BC
V6C 0A3","$2,000,000.00",2023-05-08
Ministry of Transportation and Infrastructure,,RFP Development Services - PLMB-DEVS-01,9202,Request for Proposal,2022-11-16,1,2022-12-09,Pooni Group,"1500-1021 West Hastings St.
Vancouver, BC
V6E 0C3","$2,000,000.00",2023-06-30
Ministry of Transportation and Infrastructure,,RFP Development Services - PLMB-DEVS-01,9202,Request for Proposal,2022-11-16,1,2022-12-09,Colliers Project Leaders,"200 Granville St, 19th Floor
Vancouver, BC
V6C 2R6","$2,000,000.00",2023-05-23
Ministry of Transportation and Infrastructure,,RFP Land Use Planning Services - LUPS-01,9976,Request for Proposal,2022-12-05,1,2023-01-20,Access Planning ,"50 West 17th Ave
Vancouver, BC
V5Y 1Z4","$2,000,000.00",2023-04-12
Ministry of Transportation and Infrastructure,,RFP Land Use Planning Services - LUPS-01,9976,Request for Proposal,2022-12-05,1,2023-01-20,VIA- A Perkins Eastman Studio,"270-601 West Cordova Street
Vancouver, BC
V6B 1G1","$2,000,000.00",2023-04-06
