Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Ministry of Public Safety and Solicitor General,Adult Custody Division ,CORRECTIONAL PROGRAMMING SERVICES - Vancouver Island Regional Correctional Center,SGCORR2324BBC001,Request for Proposal,2023-02-07,0,2023-03-07,The John Howard Society of Victoria,"2675 Bridge St., Victoria, British Columbia","$112,000.00",2023-03-28
Procurement Services Branch ,Adult Custody Division ,Food Services in Provincial Correctional Centres,7213,Request for Proposal,2022-10-31,0,2022-12-09,CLUBPROCURE,"400 - 1 PROLOGIS BOULEVARD, MISSISSAUGA, Ontario","$52,998,821.00",2023-03-27
Attorney General,,Update the existing Part 3 and Part 9 energy compliance tools and manuals ,9400,Request for Proposal,2023-01-06,,2022-12-10,Focal Engineering,,"$60,000.00",2023-01-04
Procurement Services Branch ,Attorney General,"Req 8473 - 9mm Supplemental Order - Practice Ammo - 150,000 Rounds",5078726,Invitation to Quote,2022-12-20,0,2023-01-03,LLOYD LIBKE LAW ENFORCEMENT SALES,"19 Ingram Dr, Toronto, Ontario","$58,500.00",2023-01-09
Procurement Services Branch ,Attorney General,Req 8448 - Purchase of practice and duty carbine ammunition,5079447,Invitation to Quote,2022-11-28,0,2022-12-09,Rampart International Corp.,"2574 Sheffield Rd, Ottawa, Ontario","$124,462.50",2023-01-09
Procurement Services Branch ,Attorney General,Clear Cover Mattress with Densified Polyester Fibre Core 4.5 x 32 x 78 inch,5080605,Invitation to Quote,2022-12-22,0,2023-01-11,SWS DETENTION GROUP INC,"1-2120 Notre Dame Ave, Winnipeg, Manitoba","$27,090.00",2023-01-12
Procurement Services Branch ,Attorney General,Tenable Software Licenses,5078638,Invitation to Quote,2022-12-12,0,2022-12-28,Managing Information Systems 3 Inc.,"1285 W Broadway, Vancouver, British Columbia","$24,000.00",2023-01-03
Procurement Services Branch ,Attorney General,Req 8469 - Courtroom Equipment - Video Conferencing,5078714,Invitation to Quote,2022-12-28,1,2023-01-13,PJS Systems Inc.,"131 E Columbia St, Unit 100, New Westminster, British Columbia","$608,898.50",2023-01-20
Procurement Services Branch ,Attorney General,2023 E-Transit-350 Cargo Van,5086635,Invitation to Quote,2023-01-06,0,2023-01-06,Metro Motors Ltd.,"2505 Lougheed Hwy., Port Coquitlam, British Columbia","$75,040.00",2023-01-09
Procurement Services Branch ,Attorney General,Flash Hiders Surefire SOCOM 3-Prong Flash Hider  SF3P-556-1/2-28,5092923,Invitation to Quote,2023-02-24,1,2023-03-06,MDC LAW ENFORCEMENT & MILITARY EQUIPMENT DISTRIBUTORS,"Unit E - 2200 Keating Cross Rd, Saanichton, British Columbia","$2,100.00",2023-03-09
Procurement Services Branch ,Attorney General,Req 8505 - 9mm Frangible Ammunition for BC Sheriff Services.,5092917,Invitation to Quote,2023-02-24,1,2023-03-06,Gravel Agency Inc,"5175 Rue John Molson, Québec, Québec","$35,400.00",2023-03-24
Procurement Services Branch ,Attorney General,Req 8503 - Purchase of 9mm Training Ammunition for BC Sheriff Services.,5090177,Invitation to Quote,2023-03-02,0,2023-03-13,LLOYD LIBKE LAW ENFORCEMENT SALES,"19 Ingram Dr, Toronto, Ontario","$47,385.00",2023-03-20
Procurement Services Branch ,Attorney General,Req 8507 - Purchase of Carbine Suppressors - Surefire SOCMM556RC2BK,5092921,Invitation to Quote,2023-02-23,2,2023-03-06,MDC LAW ENFORCEMENT & MILITARY EQUIPMENT DISTRIBUTORS,"Unit E - 2200 Keating Cross Rd, Saanichton, British Columbia","$14,890.00",2023-03-15
Procurement Services Branch ,Attorney General,Req 8527 - Purchase of carbine rifles and accessories for BCSS.,5095035,Invitation to Quote,2023-03-20,0,2023-03-20,Rampart International Corp.,"2574 Sheffield Rd, Ottawa, Ontario","$37,662.03",2023-03-20
Procurement Services Branch ,Attorney General,Req 8523 - Purchase of Rain Gear sets - Pants and Jackets for Training Institute,5094879,Invitation to Quote,2023-03-09,0,2023-03-20,Joint Force Tactical ,"Vedder Rd 103-5725 , Chilliwack, British Columbia","$10,874.64",2023-03-21
Procurement Services Branch ,Attorney General,Purchase of 9mm Duty Ammunition for BC Sheriff Services.,5090193,Invitation to Quote,2023-03-17,0,2023-03-27,"Specialty Cartridge, Inc.",", Covington, Georgia ","$14,000.00",2023-03-30
Procurement Services Branch ,Avalanche & Weather Programs ,Four (4) Road Closure Gates for MoTI Avalanche and Weather Program,160622,Invitation to Quote,2023-03-06,0,2023-03-06,Whistler Welding Services,"1932 Timber Lane , Pemberton, British Columbia","$104,500.00",2023-03-08
Ministry of Public Safety and Solicitor General,BC Corrections,Indigenous Cultural Liaison - Indigenous Spiritual Services,157396,Request for Proposal,2023-01-26,0,2023-02-23,URBAN ABORIGINAL JUSTICE SOCIETY,"#102 - 1268 5TH AVENUE, PRINCE GEORGE, British Columbia","$105,000.00",2023-03-22
Ministry of Public Safety and Solicitor General,BC Corrections,Indigenous Cultural Liaison - Program Services,SGCORR2415BVW55507,Request for Proposal,2023-01-30,0,2023-02-27,URBAN ABORIGINAL JUSTICE SOCIETY,"#102 - 1268 5TH AVENUE, PRINCE GEORGE, British Columbia","$105,000.00",2023-03-22
Ministry of Public Safety and Solicitor General,BC Corrections,"Support, Intervention & Outreach Services Kelowna Area",162689,Contract Award Notice,2023-03-27,0,2023-03-27,John Howard Society of Okanagan & Kootenay,"1440 ST. PAUL STREET, KELOWNA, British Columbia","$14,466.77",2023-03-27
Ministry of Public Safety and Solicitor General,BC Corrections,Specialized outreach services - SGCORR2415CMX42165,162523,Contract Award Notice,2023-03-24,0,2023-03-24,Connective Kamloops,"100 - 529 SEYMOUR STREET, KAMLOOPS, British Columbia","$22,081.00",2023-03-24
Procurement Services Branch ,BC Corrections,Food Services in Provincial Correctional Centres,7213,Request for Proposal,2022-10-31,0,2022-12-09,CLUBPROCURE,"400 - 1 PROLOGIS BOULEVARD, MISSISSAUGA, Ontario","$52,998,821.00",2023-03-27
BC Parks and Conservation Officer Service Division ,,LAKELSE LAKE PARK ELECTRIFICATION & WATER UPGRADE ENGINEERING SERVICES,CP23SME022,Request for Proposal,2023-02-24,0,2023-02-09,KySu Consulting Ltd.,4516 Cedar Cres. Terrace BC V8G 1X6,"$69,690.00",2023-02-24
BC Parks and Conservation Officer Service Division ,,LAKELSE LAKE PARK ELECTRIFICATION & WATER UPGRADE ENGINEERING SERVICES,156949,Request for Proposal,2023-01-20,1,2023-02-09,CTQ Consultants Ltd.,"1334 St Paul St, Kelowna, British Columbia","$99,774.00",2023-02-27
Ministry of Environment and Climate Change Strategy,BC Parks and Conservation Officer Service Division ,PROFESSIONAL SERVICES for ROLLEY LAKE and SASQUATCH PROVINCIAL PARKS CAMPGROUND EXPANSION DESIGNS,8827,Request for Proposal,2022-11-04,3,2022-12-02,CTQ Consultants Ltd.,"1334 St Paul St, Kelowna, British Columbia","$129,319.00",2023-01-19
Ministry of Environment and Climate Change Strategy,BC Parks and Conservation Officer Service Division ,Engineering Services - Emory Creek Water and Septic System Assessments and Designs,8369,Request for Proposal,2022-10-25,1,2022-11-25,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$100,000.00",2023-01-16
BC Timber Sales Branch ,,PL23TBP006 Tree Planting on the Sunshine Coast,PL23TBP006,Invitation to Tender,2022-12-05,3,2023-01-26,EVERGREEN FOREST SERVICES LTD.,"#2 - 609 BAKER STREET, CAMPBELL RIVER, British Columbia","$335,294.04",2023-02-07
BC Timber Sales Branch ,,EN24TGF001-Prince George Deactivation and Maintenance,10065,Invitation to Tender,2023-01-27,1,2023-01-12,Civil North Consulting Ltd.,"9384 Summerset Place, Prince George, BC, V2K 4Z9","$210,880.00",2023-01-18
BC Timber Sales Branch ,,Terrace Spring and Fall Plant 2023,PL24TII101,Invitation to Tender,2023-03-14,1,2023-01-03,BRINKMAN REFORESTATION LTD.,"520 Sharpe St. New Westminster, British Columbia V3M 4R2","$402,009.00",2023-02-14
BC Timber Sales Branch ,,SU24TFG008 Silviculture Surveys - Arrow South,SU24TFG008,Invitation to Tender,2023-03-23,0,2023-03-09,Dark Star Forestry Ltd.,,"$71,230.00",2023-03-22
Procurement Services Branch ,BC Timber Sales Branch ,"Req 54186 - Galvanized Steel Pipe ""CULVERTS""",158355,Invitation to Quote,2023-02-07,0,2023-02-07,Armtec,"30TH FLOOR, 360 MAIN STREET, WINNIPEG, Manitoba","$199,222.66",2023-02-15
Procurement Services Branch ,BC Wildfire Service ,Mobile Shower/Wash Trailers ,7019,Invitation to Quote,2022-10-03,2,2022-10-27,Manac Western,,"$625,600.00",2023-01-04
Ministry of Environment and Climate Change Strategy,Capital Investment Program ,Engineering Services - Emory Creek Water and Septic System Assessments and Designs,8369,Request for Proposal,2022-10-25,1,2022-11-25,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$100,000.00",2023-01-16
BC Timber Sales Branch ,Cariboo-Chilcotin ,"FH24TLH001 Mistletoe Eradication, Falling, Bucking and Three Meter Knockdown - Various Locations - Quesnel Timber Supply Area",FH24TLH001,Invitation to Tender,2023-02-15,1,2023-03-08,silviculture,"#1, 13018 - 84 AVENUE, SURREY, British Columbia","$30,051.00",2023-03-15
BC Timber Sales Branch ,Chinook ,"EN24TBP002 Granville Bay Major Works, Sunshine Coast",EN24TBP002,Invitation to Tender,2022-11-25,0,2023-01-10,Caliber Bridge and Design Ltd,"#5-522 South Dogwood Street, Campbell River, British Columbia","$188,780.00",2023-02-14
BC Timber Sales Branch ,Chinook ,PL24TBS001 - Tree Planting in the Chilliwack & Sea to Sky Natural Resource Districts,PL24TBS001 Tree Planting,Invitation to Tender,2023-01-17,0,2023-01-25,Fieldstone Resources LTD,"PO Box 45059 Dunbar, Vancouver, British Columbia","$649,984.20",2023-02-03
Ministry of Forests,Coastal Engineering Group ,"""As and When"" Rock Slope Stabilization",157891,Invitation to Tender,2023-02-02,3,2023-03-07,Power Civil Contractors Ltd.,"21278 Smith Crescent, Langley, British Columbia","$500,000.00",2023-03-23
Ministry of Transportation and Infrastructure,Comox Valley Regional District,Asphalt Road Resurfacing: H19A Courtenay Area and Strathcona Parkway Mt. Washington Area,17050MJ2023,Invitation to Tender,2023-02-01,0,2023-02-24,O.K. Industries Ltd.,", Courtenay, British Columbia","$10,699,382.50",2023-03-17
Ministry of Forests,Engineering Branch ,"Engineer Reports on Flood Damage to Kettle Valley Rail Trail, Princeton to Brodie Siding",11496,Request for Proposal,2022-12-21,3,2023-01-31,MCELHANNEY LTD,"858 Beatty St, 200, Vancouver, British Columbia","$157,212.01",2023-03-16
Ministry of Forests,Engineering Branch ,"Bridge Replacement – N5-107A Eagle Creek, Worthington - Forest Service Road Contract Number EN24474001",10356,Invitation to Tender,2022-12-14,3,2023-01-27,Heavy Metal Marine Ltd.,,"$842,112.00",2023-02-15
Attorney General,"Family Policy, Legislation and Transformation Division ",The Exploring Safe Supports for Family Justice project,156048,Contract Award Notice,2023-01-10,0,2023-01-20,Suleman Family Law ,,"$21,000.00",2023-01-10
Procurement Services Branch ,Finance and Citizens Services,Logitech Rally Plus Ultra-HD ConferenceCam - Full HD,5078746,Invitation to Quote,2022-12-21,1,2023-01-05,ITExpress Direct Inc.,"310 Upper Middle Rd W, Oakville, Ontario","$78,783.60",2023-01-11
Procurement Services Branch ,Finance and Citizens Services,Req 44007 - Purchase of Corelight and related licenses & maintenance,5081707,Invitation to Quote,2023-01-04,0,2023-01-16,Optiv Canada Inc.,"6715 Millcreek Dr, Unit 5, Mississauga, Ontario","$282,276.98",2023-01-23
Procurement Services Branch ,Finance and Citizens Services,Lenovo ThinkSmart Webcam; Logitech Rally Plus Video Conference Equipment; Logitech Mounting Bracket; Lenovo ThinkSmart Hub,5078704,Invitation to Quote,2023-01-04,2,2023-01-20,Microserve,"280 - 4400 Dominion St, Burnaby, British Columbia","$325,344.95",2023-01-23
Procurement Services Branch ,Finance and Citizens Services,Req 43996 - Crown PE4500-60 POWER CARTS (2 ea.),5081651,Invitation to Quote,2023-01-06,0,2023-01-19,Arpac Storage Systems,"7663 Progress Way, Delta, British Columbia","$44,903.02",2023-01-23
Ministry of Forests,Forest Analysis and Inventory Branch ,PREDICITIVE ECOSYSTEM MAPPING (PEM) FIELD SAMPLE PLAN DEVELOPMENT,1070-30/OT23FHQ228,Request for Proposal,2023-01-27,0,2023-02-13,ECORA ENGINEERING & RESOURCE GROUP LTD.,"200 - 2045 Enterprise Way, Kelowna, British Columbia","$175,999.99",2023-03-03
Ministry of Transportation and Infrastructure,Integrated Transportation Planning Branch ,B.C. TRANSPORTATION ECONOMIC IMPACT ANALYSIS,RFP-BCTEIA221115,Request for Proposal,2022-11-15,4,2022-12-13,HDR Corporation,"666 BURRARD STREET, Vancouver, British Columbia","$1,000,000.00",2023-03-07
Ministry of Environment and Climate Change Strategy,Interior Region - Kootenay/Okanagan ,BC Parks - Myra Bellevue Provincial Park - Myra Station / Ruth Station Bike Rental Service,10222,Request for Proposal,2022-12-10,0,2022-12-31,Myra Canyon Bicycle Rental and Tours inc,"1327 Parkinson Rd, West Kelowna, British Columbia",$0.00,2023-01-05
Attorney General,Justice Services Branch ,The Exploring Safe Supports for Family Justice project,156048,Contract Award Notice,2023-01-10,0,2023-01-20,Suleman Family Law ,,"$21,000.00",2023-01-10
BC Timber Sales Branch ,Kootenay ,IM24TFH005 - Planting Implementation & Silviculture Surveys - East Kootenays,IM24TFH005,Invitation to Tender,2023-01-20,0,2023-02-23,Zanzibar Holdings Ltd.,"204-1801 Welch St North Vancouver, North Vancouver, British Columbia","$165,495.00",2023-03-15
BC Timber Sales Branch ,Kootenay ,EN24TFD006 Forest Road Structural Maintenance,EN24TFD006,Invitation to Tender,2023-02-14,0,2023-03-15,Dosenberger Excavating Ltd.,"SUITE 2 - 609 BAKER STREET, NELSON, British Columbia","$337,550.00",2023-03-28
BC Timber Sales Branch ,Kootenay ,SU24TFG005 Silviculture Surveys - Arrow North,SU24TFG005,Invitation to Tender,2023-02-08,0,2023-03-08,SuavAir,,"$52,600.00",2023-03-13
BC Timber Sales Branch ,Kootenay ,IM24TFG006 Planting & Brushing Implementation - Arrow North,IM24TFG006,Invitation to Tender,2023-02-02,0,2023-02-22,Vision Forestry,,"$59,400.00",2023-03-06
BC Timber Sales Branch ,Kootenay ,IM24TFG009 Planting & Brushing Implementation - Arrow South,IM24TFG009,Invitation to Tender,2023-02-02,0,2023-02-24,Forsite Consultants ,"330 42nd St SW, Salmon Arm, British Columbia","$57,016.40",2023-03-10
Procurement Services Branch ,Local Government Division ,Zero turn EV lawn mover and accessories,5089912,Invitation to Quote,2023-02-09,0,2023-02-21,Fraser Valley Equipment Ltd.,,"$47,249.00",2023-02-23
Ministry of Transportation and Infrastructure,"Major Projects, Infrastructure & Properties Department ",B.C. TRANSPORTATION ECONOMIC IMPACT ANALYSIS,RFP-BCTEIA221115,Request for Proposal,2022-11-15,4,2022-12-13,HDR Corporation,"666 BURRARD STREET, Vancouver, British Columbia","$1,000,000.00",2023-03-07
Ministry of Mental Health and Addictions,Mental Health Initiatives ,MONITORING & EVALUATION FRAMEWORK FOR COMPLEX CARE HOUSING,9768,Request for Proposal,2022-11-28,1,2022-12-19,Malatest,"858 Pandora Avenue
Victoria, BC V8W 1P4","$150,000.00",2023-01-24
Procurement Services Branch ,Minister of Health ,"OwnBackup, Inc. for Salesforce",5086645,Invitation to Quote,2023-01-06,1,2023-01-18,Carahsoft Technology Corporation,"11493 Sunset Hills Road, Suite 100, Reston, Virginia ","$30,412.80",2023-02-08
Ministry of Children and Family Development,,MAPLES ADOLESCENT TREATMENT CENTRE SECURITY SERVICES,XCN2022-019RFP ,Request for Proposal,2022-12-30,2,2023-01-27,Armour Security And Protection Services Corp.,"7- 7541 Conway Avenue,, Burnaby, British Columbia","$223,170.00",2023-03-24
Ministry of Children and Family Development,,Young Parent Program,MCFDV_NOI_2022-12-BFL,Notice of Intent (BPS),2022-12-23,,,Dowling C. Monette Logging Ltd.,,"$25,000.00",2023-01-09
Ministry of Citizens' Services,,Enhancement and maintenance for the Community Information Tool (CIT) AND Community Investment Opportunity Tool (CIOT),11347,Request for Proposal,2023-02-15,1,2023-01-18,Sierra Systems Group Inc.,,"$249,000.00",2023-01-31
Ministry of Citizens' Services,,TELECOM PROCUREMENT PRIVACY & SECURITY SUPPORT,156525,Request for Proposal,2023-03-27,0,2023-02-21,PROCYON SECURITY GROUP,"13494 18 AVE
SURREY BC V4A 1W3","$240,000.00",2023-03-27
Procurement Services Branch ,Ministry of Citizens' Services,"Renewal of PowerHouse for Hosting Branch, CITZ",5093093,Invitation to Quote,2023-03-08,0,2023-03-08,"Unicom Systems, Inc.",,"$167,800.00",2023-03-09
Procurement Services Branch ,Ministry of Citizens' Services,Grafana Enterprise Subscription Grafana Enterprise subscription.,5092858,Invitation to Quote,2023-03-07,0,2023-03-07,Grafana Labs,,"$149,999.00",2023-03-07
Procurement Services Branch ,Ministry of Citizens' Services,ITT- NEW WESTMINSTER COURTHOUSE LIFECYCLE EXTENSION ,8811,Invitation to Tender,2022-11-16,23,2023-01-12,Signia Construction Ltd.,"#103 - 8380 ST. GEORGE STREET, VANCOUVER, British Columbia","$13,430,000.00",2023-01-24
Procurement Services Branch ,Ministry of Citizens' Services,Full Stack Developer,12160,Request for Proposal,2023-01-09,4,2023-02-06,Total Systems,"23092 EAGLE AVENUE, MAPLE RIDGE, British Columbia","$350,000.00",2023-03-24
Ministry of Environment and Climate Change Strategy,,Lac Le Jeune Park Potable Water System Zone Valve Replacement,CP23KAE044,Invitation to Tender,2023-02-10,1,2023-03-03,Sun Ridge Contracting Ltd.,"1348 Kootenay Way, Kamloops, British Columbia","$85,288.75",2023-03-16
Ministry of Environment and Climate Change Strategy,,McDONALD CREEK PROVINCIAL PARK ROADWAY PAVING,158242,Invitation to Tender,2023-02-06,1,2023-03-09,Selkirk Paving,"1056 Playmor Rd, Crescent Valley, British Columbia","$213,838.22",2023-03-17
Ministry of Environment and Climate Change Strategy,,Park Operator opportunity for North Sunshine Coast bundle,2022-02,Request for Proposal,2023-03-23,1,2023-01-20,RLC Enterprize,,"$303,383.00",2023-03-07
Ministry of Environment and Climate Change Strategy,,Recreation Site Maintenance - Central Okanagan,156278,Request for Proposal,2023-03-02,0,2023-02-28,S.G.S. General Contracting,2501 14th Ave,"$14,437.56",2023-03-02
Ministry of Environment and Climate Change Strategy,,Recreation Site Maintenance - Central Okanagan,156361,Request for Proposal,2023-03-08,0,2023-02-28,CLEVER TRAIL DESIGN & CONSTRUCTION,2501 14th Ave,"$14,850.00",2023-03-02
Ministry of Environment and Climate Change Strategy,,Recreation Site Maintenance - North Okanagan,156278,Request for Proposal,2023-03-08,0,2023-02-28,CLEVER TRAIL DESIGN & CONSTRUCTION,2501 14th Ave,"$11,275.00",2023-03-02
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 38917 - Automatic Switchover System for compressed gases,159494,Invitation to Quote,2023-02-21,0,2023-02-21,Air Liquide Canada,"929 Ellery St, Victoria, British Columbia","$40,920.00",2023-02-21
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,req 38943 Electric Mountain Bikes,156590,Invitation to Quote,2023-01-17,0,2023-01-17,THE BIKE BARN ENTERPRISES,"300 Westminster Ave W, Penticton, British Columbia","$12,000.00",2023-01-17
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 38919 - Water Purifiers,5074676,Invitation to Quote,2022-11-07,0,2022-11-17,VWR INTERNATIONAL CO.,", Toronto, Ontario","$24,299.97",2023-01-11
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,req. 38918 - Laboratory Fridges,5074670,Invitation to Quote,2022-11-01,2,2022-11-18,VWR INTERNATIONAL CO.,", Toronto, Ontario","$44,210.89",2023-01-10
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 38973 - welded aluminum landing craft vessel,5077417,Invitation to Quote,2022-11-10,0,2022-11-21,Argyll Motorsports & Marine,"9055 63 Ave NW, Edmonton, Alberta","$110,368.91",2023-01-03
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Analytical Balances,5078733,Invitation to Quote,2023-02-07,0,2023-02-07,VWR INTERNATIONAL CO.,"2360 Argentia Rd, Mississauga, Ontario","$13,560.88",2023-02-08
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 39199 - Fire Rings,5082776,Invitation to Quote,2023-01-06,0,2023-01-17,T-Rex Metal Industries Ltd.,"2015 Paramount Crescent, Abbotsford, British Columbia","$15,680.00",2023-01-23
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,BC Parks Type 1 Picnic Table Concrete Bases,5082775,Invitation to Quote,2023-01-09,0,2023-01-23,mackay precast products,"3469 Aqua Terra Rd, Cassidy, British Columbia","$38,100.00",2023-01-26
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,BC Parks Type 1 Picnic Table Boards,5082767,Invitation to Quote,2023-01-11,2,2023-01-30,GOATHORN CONTRACTING,"12895 COTTONWOOD RD, TELKWA, British Columbia","$20,466.00",2023-02-06
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,BC Parks Type 2 Picnic Table Boards,5082754,Invitation to Quote,2023-01-11,0,2023-01-23,GOATHORN CONTRACTING,"12895 COTTONWOOD RD, TELKWA, British Columbia","$19,095.00",2023-02-06
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,PT Link  - Pre-treatment module,5081779,Invitation to Quote,2023-01-11,0,2023-01-11,Agilent Technologies Canada Inc.,"6705 Millcreek Drive, Unit #5, Mississauga , Ontario","$12,989.49",2023-01-24
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,FLOWTRACKER AND ADCP,5081776,Invitation to Quote,2023-01-23,0,2023-01-23,"Hoskin Scientific, Ltd","3735 Myrtle St, Burnaby, British Columbia","$108,869.00",2023-01-23
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,7500FAST Real-time PCR system with laptop,5081773,Invitation to Quote,2023-02-28,0,2023-02-28,Life Technologies Inc.,,"$53,344.00",2023-02-28
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Magnetic Particle Processor - Kingfisher Apex,5081757,Invitation to Quote,2023-02-28,1,2023-02-28,Life Technologies Inc.,,"$122,899.11",2023-02-28
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 39135 - OTT-PLS Pressure Transducers,5078759,Invitation to Quote,2022-12-28,1,2023-01-13,"Hoskin Scientific, Ltd","3735 Myrtle St, Burnaby, British Columbia","$21,820.00",2023-01-20
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,25 Type 1 Concrete Table Base and Legs,5082676,Invitation to Quote,2022-12-21,0,2023-01-10,mackay precast products,"3469 Aqua Terra Rd, Cassidy, British Columbia","$29,000.00",2023-01-20
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Type 2 Table Bases and Boards,156081,Invitation to Quote,2023-01-10,0,2023-01-20,R.L.C. Enterprize Ltd.,,"$448,442.90",2023-02-02
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Particulate Monitors,5081747,Invitation to Quote,2023-01-12,0,2023-01-12,C.D. Nova Ltd.,"110, 19353 22 Ave, Surrey, British Columbia","$70,785.00",2023-01-12
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 39182 - Commercially licensed boat trailer,162314,Invitation to Quote,2023-03-23,0,2023-03-23,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$12,049.95",2023-03-23
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,One (1) 2023 Grey Mitsubishi Outlander B3-4,5087790,Invitation to Quote,2023-01-19,0,2023-01-19,"MITSUBISHI MOTOR SALES OF CANADA, INC.","2090 Matheson Blvd E, Mississauga, Ontario","$33,859.00",2023-02-01
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Travel Trailer BCCOS AIS PROGRAM,5086777,Invitation to Quote,2023-01-25,0,2023-02-06,Traveland Leisure Vehicles Ltd.,"1460 Byland Rd, West Kelowna, British Columbia","$46,413.00",2023-02-08
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,One (1) All Terrain Vehicles for BCCOS,5086775,Invitation to Quote,2023-01-25,1,2023-02-06,Trailblaz'n Power Ltd.,"10516 Alaska Rd, Fort St John, British Columbia","$15,499.00",2023-02-28
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,One (1) All Terrain Vehicle for BCCOS,5085767,Invitation to Quote,2023-01-20,0,2023-01-30,Trailblaz'n Power Ltd.,"10516 Alaska Rd, Fort St John, British Columbia","$12,424.00",2023-02-08
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 39247 - Truck Camper,162000,Invitation to Quote,2023-03-21,0,2023-03-21,SMP-RV,"805 1st Ave, Prince George, British Columbia","$56,976.00",2023-03-21
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Precast Concrete Products Various,5087789,Invitation to Quote,2023-01-26,0,2023-02-07,Tri-Kon Precast Products,"601 Patterson St W, Cranbrook, British Columbia","$117,328.02",2023-02-14
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 39391 -2 Snowmobiles,5092919,Invitation to Quote,2023-03-01,0,2023-03-13,Evergreen Industrial Supplies Ltd,", Smithers, British Columbia","$42,389.78",2023-03-15
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,FY 23 One Snowmobile,5093108,Invitation to Quote,2023-03-02,0,2023-03-13,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$17,250.00",2023-03-15
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,FY23 One All Terrain Vehicle,5093107,Invitation to Quote,2023-03-02,0,2023-03-13,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$14,969.00",2023-03-14
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,ATV,5090188,Invitation to Quote,2023-02-24,0,2023-02-24,Penticton Honda Centre,,"$13,329.28",2023-03-01
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 39375 - Down Draft Bench,5092871,Invitation to Quote,2023-03-02,0,2023-03-02,Sentry Air Systems Inc.,"21221 FM 529, Cypress, Texas ","$13,887.93",2023-03-02
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 39374 - Downdraft Table,161536,Invitation to Quote,2023-03-15,0,2023-03-15,DualDraw,"4934 S Lima St, Denver, Colorado ","$35,540.00",2023-03-15
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Mobile Treatment Centre (MTC),160759,Invitation to Quote,2023-03-07,0,2023-03-07,Code Three Emergency Vehicles Inc.,,"$29,050.00",2023-03-07
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,All Terrain Vehicle- ATV,5089818,Invitation to Quote,2023-02-16,1,2023-02-28,Cycle North Powersports,"5905 Gauthier Rd, Prince George, British Columbia","$34,940.00",2023-03-08
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,FY23 PARKS TRAVEL TRAILER - 2 UNITS - PRINCE GEORGE,5090873,Invitation to Quote,2023-02-06,0,2023-02-16,SMP-RV,,"$97,861.06",2023-03-08
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Req 39269 - Lockjoint Accessible Pit Toilet Shell Package,5087800,Invitation to Quote,2023-01-19,1,2023-01-30,Pan-Abode International,"330 522 SEVENTH STREET, NEW WESTMINSTER, British Columbia","$31,530.00",2023-02-08
Procurement Services Branch ,Ministry of Environment and Climate Change Strategy,Remote Wireless Monitoring System,5089862,Invitation to Quote,2023-02-15,0,2023-02-15,VWR INTERNATIONAL CO.,"2360 Argentia Rd, Mississauga, Ontario","$14,104.60",2023-02-15
