Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor Address,Award Total,Date Awarded
Ministry of Social Development and Poverty Reduction,,SECURITY SERVICES – GREATER VANCOUVER AREA 1 ,9965,Request for Proposal,2022-12-02,0,2023-01-06,Blackbird Security,"502-1001 W Broadway, Vancouver, British Columbia","$302,531.25",2023-02-28
Ministry of Social Development and Poverty Reduction,,Security Services - Greater Vancouver Area 3,9968,Request for Proposal,2022-12-02,0,2023-01-06,Blackbird Security,"502-1001 W Broadway, Vancouver, British Columbia","$195,712.88",2023-02-28
Ministry of Social Development and Poverty Reduction,,SECURITY SERVICES – VANCOUVER ISLAND,9970,Request for Proposal,2022-12-02,0,2023-01-06,Armour Security And Protection Services Corp.,"7- 7541 Conway Avenue,, Burnaby, British Columbia","$407,980.49",2023-03-01
Ministry of Social Development and Poverty Reduction,,Security Services - Kootenay Region,9972,Request for Proposal,2022-12-02,0,2023-01-06,Armour Security And Protection Services Corp.,"7- 7541 Conway Avenue,, Burnaby, British Columbia","$64,192.00",2023-03-01
Ministry of Social Development and Poverty Reduction,,Third Party Administration RFP 2023 – Williams Lake,10224,Request for Proposal,2022-12-09,1,2023-01-10,CMHA-CCB,"#201 35 South 2nd Ave , Williams Lake BC, British Columbia","$24,646.80",2023-02-27
Ministry of Social Development and Poverty Reduction,,Third Party Administration RFP 2023 – Comox Valley/Courtenay,10228,Request for Proposal,2022-12-09,1,2023-01-10,The Governing Council of the Salvation Army in Canada ,"2 OVERLEA BLVD., TORONTO, British Columbia","$20,700.00",2023-02-27
Ministry of Social Development and Poverty Reduction,,Third Party Administration RFP 2023 – Kamloops,10239,Request for Proposal,2022-12-09,1,2023-01-10,ASK Wellness Society,"440 MacKenzie Ave, Kamloops, British Columbia","$32,790.00",2023-02-27
Ministry of Social Development and Poverty Reduction,,Third Party Administration RFP 2023 – Merritt,10246,Request for Proposal,2022-12-09,0,2023-01-10,ASK Wellness Society,"440 MacKenzie Ave, Kamloops, British Columbia","$14,544.00",2023-02-24
Ministry of Social Development and Poverty Reduction,,THIRD PARTY ADMINISTRATION OF ASSISTANCE – KELOWNA,10247,Request for Proposal,2022-12-09,1,2023-01-09,Piers,"1799 Harvey Avenue, Kelowna BC, V1Y 6G4","$154,740.00",2023-02-24
Ministry of Social Development and Poverty Reduction,,THIRD PARTY ADMINISTRATION OF ASSISTANCE – WEST KELOWNA,10250,Request for Proposal,2022-12-09,0,2023-01-09,Piers,"1799 Harvey Avenue, Kelowna BC, V1Y 6G4","$71,580.00",2023-02-24
Ministry of Social Development and Poverty Reduction,,Third Party Administration RFP 2023 – Powell River,10256,Request for Proposal,2022-12-09,0,2023-01-10,Lift Community Services,"218-6975 ALBERNI ST, POWELL RIVER, British Columbia","$9,600.00",2023-02-24
Ministry of Social Development and Poverty Reduction,,Trauma Informed Practice Training,NOI-TIP-2023,Notice of Intent (BPS),2023-01-10,1,2023-01-25,Trauma Informed Practice Institute,908 Pandora Avenue,"$25,000.00",2023-02-01
Ministry of Transportation and Infrastructure,,"RFP NR2022-ENG-02 “As and When” Geotechnical Drilling for Highway Improvement, Rehabilitation, and Landslide Stabilization Projects",6347,Request for Proposal,2023-02-01,2,2022-10-03,VanMars Drilling Ltd.,,"$3,000,000.00",2023-01-12
Ministry of Transportation and Infrastructure,,"RFP NR2022-ENG-02 “As and When” Geotechnical Drilling for Highway Improvement, Rehabilitation, and Landslide Stabilization Projects",6347,Request for Proposal,2023-01-19,2,2022-10-03,Geotech Drilling Services,,"$3,000,000.00",2023-01-12
