Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildlife & Ecosystem Stewardship Planning,TE22REM065/1070-20,SRFP,2021/06/17,5,2021/06/18,Madrone Environmental Services Ltd,Duncan,British Columbia,Canada,"$56,820.00",2021/07/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cassiar South-Nass National Forest Inventory (NFI) Sampling,1070-30/OT22FHQ025,ITT,2021/04/13,0,2021/04/29,Trevor Blenner-Hassett dba Forestec Forestry Consulting,Kamloops,British Columbia,Canada,"$138,240.00",2021/07/12
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,HWY 97C IMPROVEMENTS - INSTRUMENTATION,22440MN0004,MOTITT,2021/06/24,1,2021/06/29,Copcan Civil Ltd.,Nanaimo,British Columbia,Canada,"$223,000.00",2021/07/12
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",McBride Peaks Forestry Service Road Reconstruction ,EN22DPG722,ITT,2021/05/31,2,2021/06/21,Civil North Consulting Ltd.,Prince George,British Columbia,Canada,"$97,295.00",2021/07/12
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Heather Park Wildfire Risk Reduction Treatment,OP22DPG710,ITT,2021/06/09,2,2021/06/17,Seneca Enterprises Ltd.,Prince George,British Columbia,Canada,"$14,160.00",2021/07/12
Procurement Services Branch,Ministry of Citizens' Services,Maintenance & License Support 1-year Renewal  Java SSO Plug In I,ITQ-006727,Itq,2021/06/30,0,2021/07/09,Insight Canada Inc,Montreal,Quebec,Canada,"$7,735.58",2021/07/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",2021 Bridge Inspections Haida Gwaii Natural Resource District,EN22NAN910,ITT,2021/06/25,0,2021/07/13,Onsite Engineering Ltd.,Campbell River,British Columbia,Canada,"$31,835.00",2021/07/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Woodward Road Wildfire Risk Reduction Treatment,FS22DCS107,ITT,2021/06/16,0,2021/07/13,Shulus Forest Enterprises Inc.,Merritt,British Columbia,Canada,"$178,120.00",2021/07/13
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fabricate/supply concrete footings-structural bridge components,ITQ-006719,Itq,2021/06/18,0,2021/06/28,Surespan Structures Ltd.,Duncan,British Columbia,Canada,"$20,881.91",2021/07/13
Procurement Services Branch,Ministry of Citizens' Services,Palo Alto Products and Maintenance (Victoria BC),ITQ-006728,Itq,2021/07/05,0,2021/07/13,CDW Canada Corp.,Toronto,Ontario,Canada,"$22,536.93",2021/07/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Wildfire Risk Reduction Fuel Management Cleanup along Highway 39,10005-40/FS22DMK009,ITT,2021/06/14,0,2021/06/28,Spectrum Resource Group Inc.,Prince George,British Columbia,Canada,$0.00,2021/07/14
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"RFP-ENV-20210602 Invasive Plant Management CSRD, RDNO, RDCO",RFP-ENV-20210602,RFP,2021/06/09,2,2021/06/16,Spectrum Resource Group Inc,Prince George,British Columbia,Canada,"$173,990.00",2021/07/14
Ministry of Attorney General,Ministry of Attorney General,Phase 2 Engagement on Existing Buildings Renewal Strategy,12347,SRFP,2021/05/12,0,2021/06/09,Integral Group Consulting (BC) LLP,Vancouver,British Columbia,Canada,"$46,250.00",2021/07/15
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 97 Improvements at Racing Rd. and Quesnel Hydraulic Rd.,24817MJ0000,MOTITT,2021/07/06,2,2021/07/13,IDL Projects Inc.,Prince George,British Columbia,Canada,"$8,177,375.00",2021/07/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","WILDFIRE FUEL MITIGATION PRESCRIPTION PLANS - Wells, BC",CS22DQU002,ITT,2021/06/28,1,2021/07/08,Cabin Resource Management Ltd.,Vernon,British Columbia,Canada,"$55,239.91",2021/07/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",HAIDA GWAII - Rennell Sound FSR Realignment & Crossing Repair,EN22NAN803,ITT,2021/06/29,0,2021/07/13,Skidegate Inlet Construction Ltd.,Queen Charlotte,British Columbia,Canada,"$128,630.00",2021/07/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Atlin Wildfire Risk Reduction Tactical Planning and Site Rx,GS22DSS102,RFP,2021/06/10,2,2021/06/15,CABIN RESOURCE MANAGEMENT,Vernon,British Columbia,Canada,"$68,775.00",2021/07/15
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",North Cassiar Wildfire Risk Reduction Tactical Plan,GS22DSS103,RFP,2021/06/10,0,2021/07/08,Frontera Forest Solutions Inc.,Vancouver,British Columbia,Canada,"$29,950.00",2021/07/15
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Assessing Net Zero Tech for GHG Abatement in Oil/Gas Facilities,12433,RFP,2021/06/29,1,2021/07/07,Worley Services Canada (Advisian),Calgary,Alberta ,Canada,"$145,600.00",2021/07/16
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Assessing Net Zero Tech. for GHG Abatement in Mining Facilities,12430,RFP,2021/06/29,1,2021/07/07,Golder Associates Ltd.,Vancouver,British Columbia,Canada,"$148,545.00",2021/07/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northern Mountain Caribou Range Delineation,CS22DPG630,RFP,2021/06/22,1,2021/07/02,0765981 BC LTD dba EcoLogic Research,Nanaimo,British Columbia,Canada,"$39,600.00",2021/07/16
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",*REQUOTE* Request for Standing Offer - Custom Build Stock Boxes,ITQ-006686R,Itq,2021/07/05,0,2021/07/13,CP Packaging Corp,Delta,British Columbia,Canada,$0.00,2021/07/16
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",High Spatial Res Digital Terrain/Digital Surface Mapping Cassiar,1070-30/OT22FHQ076,RFP,2021/06/22,3,2021/06/30,First Resource Management Group Inc.,North Bay,Ontario,Canada,"$269,991.00",2021/07/17
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Heading Creek and Walcott FSR Road Maintenance,EN22DND001,ITT,2021/07/12,3,2021/07/19,PETE BODNAR CONTRACTING LTD,Houston,British Columbia,Canada,"$60,600.00",2021/07/19
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Hedley Wildfire Risk Reduction Treatment,FS22DCS108,ITT,2021/06/25,0,2021/07/19,Spectrum Resource Group Inc.,Prince George,British Columbia,Canada,"$33,373.65",2021/07/19
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",LBI Silviculture Surveys- Current Reforestation,SU22DSE001,ITT,2021/07/08,0,2021/07/15,Dark Star Forestry Ltd.,Victoria,British Columbia,Canada,"$8,959.50",2021/07/19
Procurement Services Branch,Ministry of Citizens' Services,"Clarity SAAS Full Function User Subscription (Victoria, BC)",ITQ-006734,Itq,2021/07/12,1,2021/07/19,"CA, Inc",San Jose,California,United States,"$99,480.38",2021/07/19
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Jones Lake FSR - Retaining Wall Installation,EN22LMN310,ITT,2021/07/08,3,2021/07/12,Triex Contracting Ltd.,North Vancouver,British Columbia,Canada,"$423,500.00",2021/07/20
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","FFT Site Treatment Plans, Layout within Quesnel ",OP22DQU005,ITT,2021/06/10,2,2021/06/17,Coastal Natural Resource Management Ltd,Vancouver,British Columbia,Canada,"$27,426.00",2021/07/20
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Site Prep of Wildfire Impacted Stands Canoe East FSR/Hugh Allen ,SP22DPG725,ITT,2021/06/07,0,2021/07/07,MNO Enterprises Ltd.,Vernon,British Columbia,Canada,"$127,413.00",2021/07/20
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Site Prep of Wildfire Impacted Stands Canoe East FSR/Hugh Allen ,SP22DPG725,ITT,2021/06/07,0,2021/07/07,MNO Enterprises Ltd,Vernon,British Columbia,Canada,"$127,413.00",2021/07/20
Ministry of Attorney General,Ministry of Attorney General,"Indigenous consultation, BC Building Code for existing buildings",12335,SRFP,2021/06/02,3,2021/06/11,Pinna Sustainability Inc,Vancouver,British Columbia,Canada,"$29,970.00",2021/07/21
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Roche Lake Park Road Maintenance and Improvements,CP22KAE022,ITT,2021/06/14,0,2021/07/21,Arnica Contracting Inc,Merritt,British Columbia,Canada,"$203,743.73",2021/07/21
