Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
City of Richmond,City of Richmond,8106Q Garden City Lands Screening Contractor,8106Q,RFQ,2022/05/10,1,2022/06/06,Highroad Excavating Ltd.,Langley,,,"$144,738.00",2022/06/22
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,GWELLS Data Management Contract,GS23WPS0001MY,RFP,2022/05/18,1,2022/06/16,HR GISolutions Inc.,Victoria,British Columbia,Canada,"$15,000.00",2022/06/22
Ministry of Forests,Ministry of Forests,"Knotweed Surveys & Treatments-Nimpkish River & Victoria Lake, BC",IV23HRA465,ITT,2022/06/02,0,2022/06/13,Joe Dowe Enterprises Ltd.,Campbell River,British Columbia,Canada,"$53,640.00",2022/06/22
BC Timber Sales - Contracts,BC Timber Sales - Contracts,PL23TEM601 - Summer Tree Planting Kamloops TSA (Clearwater),PL23TEM601,ITT,2022/05/17,1,2022/05/30,ZANZIBAR HOLDINGS LTD.,North Vancouver,British Columbia,Canada,"$248,588.25",2022/06/22
Islands Trust,Islands Trust,Community Engagement for Gambier Island,RFP-2023.004,RFP,2022/05/06,0,2022/05/27,Bayshore Planning Services Inc.,Duncan,,,"$16,000.00",2022/06/22
Ministry of Forests,Ministry of Forests,Cone Picking Lodgepole Pine Orchards,1070-30/CC23FHQ058,ITT,2022/05/16,1,2022/05/31,Casparus Jacobus du Plessis dba Obikwa Trading Company,Nanaimo,British Columbia,Canada,"$200,000.00",2022/06/21
City of Richmond,City of Richmond,S & D Plug-In Hybrid and/or Fully Electric Four Door Sedans,8008Q,RFQ,2022/01/12,1,2022/01/19,Open Road Toyota Richmond,Richmond,,,"$172,520.00",2022/06/21
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,86002MJ0253,MOTITT,2022/05/25,1,2022/06/15,Mountain Rock Stabilization Services Inc.,Kamloops,British Columbia,Canada,"$674,802.00",2022/06/21
Ministry of Forests,Ministry of Forests,Major Works- Bridge Installation at Eagan-Bonaparte 64-179 FSR,EN23474013,ITT,2022/06/01,1,2022/06/07,Deverell Contracting Ltd.,Kamloops,British Columbia,Canada,"$260,523.00",2022/06/21
Procurement Services Branch,Ministry of Citizens' Services,Annual support and maintenance for the TIDAL software:3 year ,ITQ-007066,Itq,2022/05/18,0,2022/05/27,Tidal Software LLC,Chicago,Illinois,United States,"$26,773.20",2022/06/21
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,Assistive Technology Support Services ,ON-003769,RFP,2022/04/27,0,2022/05/27,N/A,,,,$0.00,2022/06/21
Ministry of Citizens' Services,Ministry of Citizens' Services,Professional Consulting Architect and Engineering Services,ON-003784,RFP,2022/06/01,4,2022/06/09,O4 Architecture Ltd.,Vancouver,British Columbia,Canada,"$145,335.00",2022/06/21
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,RFP for Golden Ears/Fallen Giants Bicycle Trails Design-Build,RFP-CP23LME0007,RFP,2022/05/03,2,2022/05/20,Golden Dirt Trails,North Vancouver,British Columbia,Canada,"$106,500.00",2022/06/21
BC Liquor Distribution Branch,BC Liquor Distribution Branch,Currency Discriminators & Printers,SRFP2022-05-25,SRFP,2022/04/27,0,2022/05/25,GEMSYS Money Handling Systems Inc.,Oakville,,,"$72,225.00",2022/06/21
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Process & Water Treatment Consulting Eng. - Water Services Prjts,22-089,RQU,2022/03/21,1,2022/04/13,see https://metrovancouver.bidsandtenders.ca,Burnaby,,,$0.00,2022/06/20
Ministry of Forests,Ministry of Forests,EN23DSE012 Forest Service Road Deactivation,EN23DSE012,ITT,2022/06/02,0,2022/06/16,BHEX Contracting Ltd.,Revelstoke,British Columbia,Canada,"$140,372.50",2022/06/20
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Brushing of BCTS FSR's,EN23TGF001,ITT,2022/05/16,0,2022/06/07,GDA Contracting Incorporated,Valemount,British Columbia,Canada,"$102,800.00",2022/06/20
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Estimating the Economic Costs and Benefits of Climate Policy,GS23JHQ014,SRFP,2022/05/25,3,2022/05/31,Deetken Enterprises Inc.,Victoria,British Columbia,Canada,"$150,000.00",2022/06/20
Ministry of Forests,,,OT23FHQ109,ITT,,0,,Bio-Geo Dynamics Ltd.,Prince George,,,"$61,850.00",2022/06/20
BC Timber Sales - Contracts,BC Timber Sales - Contracts,SP23TFD006 - TKO - Mechanical Site Prep - Kootenay Lake South,SP23TFD006,ITT,2022/05/17,1,2022/05/25,Wyatt Consulting Ltd.,Vernon,British Columbia,Canada,"$174,647.00",2022/06/20
Vancouver Island Health Authority,Vancouver Island Health Authority,Greater Victoria Clinic Program Facility,2250XXX DESIGN CONS,RFP,2022/06/08,2,2022/06/09,Continuum Architecture,Victoria,,,$0.00,2022/06/17
City of Richmond,City of Richmond,Supply and Delivery of Precast for Capital and Public Works Ops,7003Q,RFQ,2020/11/12,1,2020/11/23,N/A,,,,$0.00,2022/06/17
City of Richmond,City of Richmond,Pre-qualification of Sustainability Workshop Instructors,7267EOI,REI,2021/10/05,0,2021/11/02,N/A,,,,$0.00,2022/06/17
City of New Westminster,City of New Westminster,2022 Capital Pavement Program,NWIT-22-10,ITT,2022/05/11,0,2022/06/02,Mainland Construction Materials ULC dba Winvan Paving,Langley,,,"$3,479,002.91",2022/06/17
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Mechanical Site Preparation - North Zone,SP23TKJ051,ITT,2022/04/14,0,2022/05/10,Broken Branch Contracting Ltd.,Lumby,British Columbia,Canada,"$223,300.00",2022/06/17
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFP - Cariboo Road Recovery Projects - Owner's Engineer Team,13094,RFP,2022/04/04,3,2022/04/12,Stantec Consulting Ltd.,Kamloops,British Columbia,Canada,"$75,000,000.00",2022/06/16
University of British Columbia,University of British Columbia,UBC MacMillan Growth Chamber Project,2022010008,RFT,2022/04/20,1,2022/05/03,Finlink Construction Ltd.,Victoria,,,"$285,500.00",2022/06/16
University of British Columbia,University of British Columbia,Brimacombe QMI Renovation Rms 061/273,2022010031,RFP,2022/05/09,0,2022/05/31,Heatherbrae Builders Co. Ltd.,Victoria,,,"$10,000.00",2022/06/16
Ministry of Forests,Ministry of Forests,"Routine Bridge Inspections-Thompson Rivers,Cascades & 100 Mile",EN23474009,ITQ,2022/05/10,1,2022/05/31,Terraliving Consultants Inc.,Vernon,British Columbia,Canada,"$78,478.00",2022/06/16
Ministry of Forests,Ministry of Forests,"Prof Eng Close Proximity Bridge Inspections,Reports,Load Ratings",EN23474018,RFP,2022/05/13,0,2022/06/09,Onsite Engineering Ltd.,Salmon Arm,British Columbia,Canada,"$214,775.00",2022/06/16
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Project Supervision - Various Locations - Quesnel Timber Supply ,EN23TLH003,ITT,2022/05/30,1,2022/06/02,George Ryan DBA Narcosli Consulting Services,Victoria,British Columbia,Canada,"$41,950.00",2022/06/16
Procurement Services Branch,Ministry of Forests,Hazel Hoe (Adze Hoe) Complete (Head & Handle),ITQ-007068,Itq,2022/05/19,0,2022/05/27,"Prototype Integrated Solutions, Inc.",Langley,British Columbia,Canada,"$61,600.00",2022/06/16
Procurement Services Branch,Ministry of Forests,GORGUI V2 Fire Hand Tool,ITQ-007070,Itq,2022/05/25,1,2022/05/27,Adriana Levet Newhouse,Vancouver,British Columbia,Canada,"$106,624.00",2022/06/16
Asset Investment Recovery,,,ON-003771,SRFP,,0,,Hi-Lite Truck,Surrey,,,"$150,000.00",2022/06/16
Asset Investment Recovery,,,ON-003772,SRFP,,0,,Hi-Lite Truck,Surrey,,,"$150,000.00",2022/06/16
Asset Investment Recovery,,,ON-003773,SRFP,,0,,Hi-Light Truck,Surrey,,,"$150,000.00",2022/06/16
Provincial Health Services Authority (Incl. BCCSS),Provincial Health Services Authority (Incl. BCCSS),ITQ Automated Microbiology Plate Streaker and SMART Incubator,PHSA 9033,ITT,2022/06/02,0,2022/06/13,Micronostyx,Ottawa,,,"$893,808.00",2022/06/16
Ministry of Forests,Ministry of Forests,South Island PSP’s 2022 Sampling,1070-30/OT23FHQ085,ITT,2022/05/25,2,2022/05/27,Carson James Hardy,Victoria,British Columbia,Canada,"$40,635.00",2022/06/15
Greater Vancouver Regional District (Metro Vancouver),Greater Vancouver Regional District (Metro Vancouver),Secure Email Gateway Solution,22-069,ITB,2022/02/25,0,2022/03/18,iON United Inc.,Vancouver,,,$0.00,2022/06/15
Product Distribution Centre,Product Distribution Centre,BC Corrections Nitrile Gloves,6000077162,RMSA,2022/04/19,11,2022/04/21,The Stevens Company Limited,Brampton,Ontario,Canada,"$262,969.20",2022/06/15
City of Richmond,City of Richmond,Car Seat Recycling Services,8093 NOITC,NOI,2022/03/23,0,2022/04/06,WCS Waste Control Services Inc.,Coquitlam,,,"$170,250.00",2022/06/15
Ministry of Forests,Ministry of Forests,Major Works- Bridge Installation at Frank Cr. 62-085 FSR,EN23474014,ITT,2022/05/09,0,2022/05/31,Heavy Metal Marine Ltd.,Shawnigan Lake,British Columbia,Canada,"$436,020.00",2022/06/15
BC Timber Sales - Contracts,BC Timber Sales - Contracts,SP23TFF007 - TKO - Mechanical Site Prep - Boundary,SP23TFF007,ITT,2022/05/17,0,2022/06/09,N/A,,,,$0.00,2022/06/15
Ministry of Forests,Ministry of Forests,Cranbrook VRI Ground Sampling Quality Assurance,1070-30/OT23FHQ096,ITT,2022/05/26,1,2022/06/03,McColl Forestry Ltd.,Kelowna,British Columbia,Canada,"$40,000.07",2022/06/14
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 99 - 32 Avenue Interchange Improvements,12863MJ0001,MOTITT,2022/06/01,5,2022/06/07,Lafarge Canada Inc.,Coquitlam,British Columbia,Canada,"$14,075,322.00",2022/06/14
