Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Concrete Type 1 Picnic Table Bases (Liard Hot Springs),ITQ-005972,Itq,2019/08/28,0,2019/09/05,Ken MacKay & Son Concrete Forming Ltd,Nanaimo,"$53,530.40",2019/09/11,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",FFT Post Wildfire Assessment and Silviculture Surveys,SU20DSN043,ITT,2019/08/28,2,2019/09/12,L.M. Forest Resource Solutions Ltd,Smithers,"$99,494.15",2019/09/18,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Janitorial Services Contract at the North Road Lab,ITT20JHQ030,ITT,2019/08/28,0,2019/09/12,Alpine Building Maintenance Inc,Surrey,"$16,800.00",2019/09/26,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Automated Avalanche Detection System,84148MJ0000,MOTITT,2019/08/28,0,2019/09/12,Axis Mountain Technical Inc.,Terrace,"$695,257.06",2019/09/17,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Automated Avalanche Detection System,84148MJ0000,MOTITT,2019/08/28,0,2019/09/12,Axis Mountain Technical Inc.,Terrace,"$695,257.06",2019/09/17,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Quest Shareplex for Oracle Standard Edition (Victoria),ITQ-005971,Itq,2019/08/28,0,2019/09/05,Quest Software Canada Inc,Woodbridge,"$19,650.00",2019/09/11,Ontario,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Supply and Delivery of BBQ stands (Summerland),ITQ-005964,Itq,2019/08/30,2,2019/09/05,McGrath Contracting LTD,Campbell River,"$13,555.36",2019/09/11,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,AS & WHEN REQUIRED TRAFFIC CONTROL SERVICES - NORTH PEACE,331LM6693-TC,ITB,2019/08/30,0,2019/09/09,SL Enterprizes Ltd.,Dawson Creek,"$50,000.00",2019/09/09,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Ecosystem Restoration: Slash & piling Douglas fir/Ponderosa Pine,ER20DTR004,ITT,2019/08/30,0,2019/09/16,Sage Forestry Lt.d,Kamloops,"$38,812.50",2019/09/20,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Request for Standing Offer for Highway Signs (various locations),ITQ-005969,Itq,2019/08/30,1,2019/09/10,Valley Traffic Systems Inc,Langley,$0.00,2019/09/25,British Columbia,Canada
