Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Grading Works on Various Forest Service Roads, Powell River Area",EN20LMN101,ITT,2019/04/23,0,2019/05/09,Capilano Highway Services Company,West Vancouver,"$16,330.00",2019/05/09,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 1 - Admirals/McKenzie Interchange - Retaining Walls,16606MJ0003,MOTITT,2019/04/24,2,2019/05/02,Deramore Construction Services Inc.,Abbotsford,"$1,028,361.19",2019/05/13,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",EN20PGN327-Removal/Disposal of the McGregor Suspension Bridge,EN20PGN327,ITT,2019/04/24,0,2019/05/22,Platinum Stone Contracting Ltd.,Mission,"$382,016.00",2019/06/04,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","""AS & WHEN"" STREAM CROSSING SURVEY AND DESIGN",NEGCROSSINGD,ITT,2019/04/24,2,2019/05/01,Allnorth Consultants Limited,Prince George,"$45,375.00",2019/05/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","""AS & WHEN"" STREAM CROSSING SURVEY AND DESIGN",NEGCROSSINGD,ITT,2019/04/24,2,2019/05/01,Onsite Engineering Ltd.,Prince George,"$47,314.60",2019/05/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","""AS & WHEN"" STREAM CROSSING SURVEY AND DESIGN",NEGCROSSINGD,ITT,2019/04/24,2,2019/05/01,Allnorth Consultants Limited,Prince George,"$42,575.00",2019/05/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","""AS & WHEN"" STREAM CROSSING SURVEY AND DESIGN",NEGCROSSINGD,ITT,2019/04/24,2,2019/05/01,Onsite Engineering Ltd.,Prince George,"$38,007.50",2019/05/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","""AS & WHEN"" STREAM CROSSING SURVEY AND DESIGN",NEGCROSSINGD,ITT,2019/04/24,2,2019/05/01,Allnorth Consultants Limited,Prince George,"$42,575.00",2019/05/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","""AS & WHEN"" STREAM CROSSING SURVEY AND DESIGN",NEGCROSSINGD,ITT,2019/04/24,2,2019/05/01,Allnorth Consultants Limited,Prince George,"$42,575.00",2019/05/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northern Engineering Group “As and When” Environmental Services,1070-20-NEGENVIROMEN,ITT,2019/04/24,1,2019/05/08,Profor Resource Development Inc.,Prince George,"$39,100.00",2019/05/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northern Engineering Group “As and When” Environmental Services,1070-20-NEGENVIROMEN,ITT,2019/04/24,1,2019/05/08,Profor Resource Development Inc.,Prince George,"$39,100.00",2019/05/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northern Engineering Group “As and When” Environmental Services,1070-20-NEGENVIROMEN,ITT,2019/04/24,1,2019/05/08,Profor Resource Development Inc.,Prince George,"$37,750.00",2019/05/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northern Engineering Group “As and When” Environmental Services,1070-20-NEGENVIROMEN,ITT,2019/04/24,1,2019/05/08,Profor Resource Development Inc.,Prince George,"$37,750.00",2019/05/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northern Engineering Group “As and When” Environmental Services,1070-20-NEGENVIROMEN,ITT,2019/04/24,1,2019/05/08,Marlim Ecological Consulting Ltd.,Prince George,"$47,250.00",2019/05/08,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Northern Engineering Group “As and When” Environmental Services,1070-20-NEGENVIROMEN,ITT,2019/04/24,1,2019/05/08,Marlim Ecological Consulting Inc.,Prince George,"$47,250.00",2019/05/08,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Splunk Enterprise Support Renewal (Victoria),ITQ-005876,Itq,2019/04/24,0,2019/05/02,Softchoice LP,Vancouver,"$13,753.60",2019/05/03,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Development of Standardized VRI QA Score Sheets,1070-30/IS20FHQ037,ITT,2019/04/24,0,2019/05/14,Ecora Engineering and Resource Group Ltd.,Victoria,"$7,482.00",2019/05/24,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Broadway Subway Project Systems Management Consultant,085CS0031,RFP,2019/04/25,3,2019/04/30,Westco Consulting Inc.,Burnaby,"$11,855,678.00",2019/07/08,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,H20 Louie Creek Bridge #07491 Replacement,24060MJ0002,MOTITT,2019/04/25,1,2019/05/01,Big Rock Construction Company Ltd.,Kamloops,"$1,679,620.00",2019/05/13,British Columbia,Canada
Procurement Services Branch,Ministry of Attorney General,9MM Practice and Duty Ammunition (5 locations),ITQ-005877,Itq,2019/04/25,0,2019/05/03,Rampart International Corp,Ottawa,"$106,164.70",2019/05/23,Ontario,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services South Cariboo SA 16,20144OP1619,MOTITT,2019/04/25,0,2019/05/09,Ansan Industries Ltd. dba Ansan Traffic Group Ltd.,Richmond,"$129,300.00",2019/05/21,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services South Cariboo SA 16,20144OP1619,MOTITT,2019/04/25,0,2019/05/09,Ansan Industries Ltd. dba Ansan Traffic Group Ltd.,Richmond,"$129,300.00",2019/05/21,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections - Peace & PG District,EN20PGN307,ITT,2019/04/25,0,2019/05/15,Frontline Management Services Ltd.,Vancouver,"$36,000.00",2019/05/21,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,All Terrain Vehicle (Penticton),ITQ-005873,Itq,2019/04/26,1,2019/05/02,Penticton Honda Centre,Penticton,"$15,041.10",2019/05/17,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Fence Fabrication and Installation - Ladner Creek Trestle,04519MN0001,MOTITT,2019/04/29,0,2019/06/05,N/A,,$0.00,2019/06/20,,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Fence Fabrication and Installation - Ladner Creek Trestle,04519MN0001,MOTITT,2019/04/29,0,2019/06/05,N/A,,$0.00,2019/06/20,,
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Steel Girder/Concrete Deck Bridge (Summerland),ITQ-005874,Itq,2019/04/29,0,2019/05/07,Pioneer Precast Products,Chilliwack,"$240,504.32",2019/05/14,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Rd Resurfacing H19A Nanaimo Area Turner - Jingle Pot Rds,16823MJ2019,MOTITT,2019/04/29,0,2019/05/23,Lafarge Canada Inc. dba Hub City Paving,Nanaimo,"$2,953,921.50",2019/05/28,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Rd Resurfacing H19A Nanaimo Area Turner - Jingle Pot Rds,16823MJ2019,MOTITT,2019/04/29,0,2019/05/23,Lafarge Canada Inc. dba Hub City Paving,Nanaimo,"$2,953,921.50",2019/05/28,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Road Maintenance, Grading activities-Quesnel District",EN20DQU002,ITT,2019/04/29,0,2019/05/09,D. Goodwin & Sons Grading Ltd.,Quesnel,"$83,131.20",2019/06/03,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,AS & WHEN REQUIRED FIRST AID SERVICES - NORTH PEACE,331LM9881-FA,ITB,2019/04/30,0,2019/05/07,Kharma Safety Ltd.,Fort St John,"$50,000.00",2019/05/07,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"H29 Bullmoose Creek Bridges (#2780, #2787) Deck Resurfacing",37209MJ0000,MOTITT,2019/04/30,0,2019/05/22,Cortez Construction Ltd,Kamloops,"$1,728,735.00",2019/05/29,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"H29 Bullmoose Creek Bridges (#2780, #2787) Deck Resurfacing",37209MJ0000,MOTITT,2019/04/30,0,2019/05/22,Cortez Construction Ltd,Kamloops,"$1,728,735.00",2019/05/29,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services Central Cariboo SA 17,20144OP1719,MOTITT,2019/04/30,0,2019/05/14,Ansan Industries Ltd. dba Ansan Traffic Group Ltd.,Richmond,"$76,750.00",2019/05/21,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services Central Cariboo SA 17,20144OP1719,MOTITT,2019/04/30,0,2019/05/14,Ansan Industries Ltd. dba Ansan Traffic Group Ltd.,Richmond,"$76,750.00",2019/05/21,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,PSSG Segregation Renovation Project,ON-003329,RFP,2019/05/01,1,2019/05/10,N/A,,$0.00,2019/06/12,,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Deck Renewal - Highway 5 Carolin Bridge,12596MJ0001,MOTITT,2019/05/01,2,2019/05/08,Dorosh Construction Ltd.,Langley,"$3,721,935.46",2019/05/13,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Bridge Construction to Replace Flood Damaged Culverts,35754MJ0001,MOTITT,2019/05/01,2,2019/05/07,Surespan Construction Ltd.,North Vancouver,"$2,513,497.58",2019/05/15,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services North Cariboo SA 18,20144OP1819,MOTITT,2019/05/01,0,2019/05/15,Ansan Industries Ltd. dba Ansan Traffic Group Ltd.,Richmond,"$46,675.00",2019/05/21,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services North Cariboo SA 18,20144OP1819,MOTITT,2019/05/01,0,2019/05/15,Ansan Industries Ltd. dba Ansan Traffic Group Ltd.,Richmond,"$46,675.00",2019/05/21,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Rehabilitation Works, Division F & I-1 in Division I, K20637",RH20KAD0006,ITT,2019/05/02,0,2019/05/13,High Level Contracting Ltd,100 Mile House,"$51,575.00",2019/05/21,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Facilitation and report-writing for regional sessions,RFP20JHQ003SF,SRFP,2019/05/02,3,2019/05/07,Indegnuity Consulting Group Ltd.,Duncan,"$230,000.00",2019/05/24,British Columbia,Canada
Ministry of Agriculture,Ministry of Agriculture,Delta’s Future Agricultural Water Supply and Demand,10462,RFP,2019/05/02,0,2019/05/24,Integrated Sustainability,Vancouver,"$71,852.00",2019/06/03,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Fixed Wing Aerial Overview Survey of Forest Health Conditions,FH20RSK001MY,ITT,2019/05/02,0,2019/05/24,HR GISolutions Inc,Victoria,"$52,745.00",2019/05/27,British Columbia,Canada
Ministry of Indigenous Relations and Reconciliation,Ministry of Indigenous Relations and Reconciliation,NOI- Survey Consulting Services,ON-003345,NOI,2019/05/02,0,2019/05/10,Patrick Ringwood Corporation,Victoria,$0.00,2019/05/10,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Roberts Lake Area - Hwy 19 Southbound Passing Lane,16744MJ0001,MOTITT,2019/05/03,2,2019/05/14,Upland Contracting Ltd.,Campbell River,"$4,034,894.60",2019/05/17,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",EN20DTR007 - Road Reconstruction - Kamloops,EN20DTR007,ITT,2019/05/03,0,2019/05/31,Glen Labby Contracting Ltd.,Kamloops,"$86,433.00",2019/06/11,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hydrographic Surveys at Selected Structures in British Columbia,83106OP2001,MOTITT,2019/05/03,0,2019/05/17,CANCELLED,Victoria,$0.00,2019/05/24,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hydrographic Surveys at Selected Structures in British Columbia,83106OP2001,MOTITT,2019/05/03,0,2019/05/17,CANCELLED,Victoria,$0.00,2019/05/24,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Prince George East Young Stand Monitoring (YSM) Sampling,1070-30/OT20FHQ068,ITT,2019/05/03,0,2019/05/21,Jerome Ralph Nutter dba JN Contracting,Williams Lake,"$67,242.00",2019/05/22,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Prince George West Young Stand Monitoring (YSM) Sampling,1070-30/OT20FHQ069,ITT,2019/05/06,0,2019/05/22,Atticus Environmental Services (Canada) Ltd.,Cobble Hill,"$67,347.01",2019/05/24,British Columbia,Canada
Ministry of Children and Family Development,Ministry of Children and Family Development,Family and Youth Counselling (North East),NR095SRFP,SRFP,2019/05/06,2,2019/05/16,Dawson Creek Haven Family Services,Dawson Creek,"$157,000.00",2019/09/01,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Tableau Desktop Professional & Personal Renewal (Victoria),ITQ-005880,Itq,2019/05/06,1,2019/05/10,Newcomp Analytics Inc.,Thornhill,"$11,920.00",2019/05/16,Ontario,Canada
Procurement Services Branch,Ministry of Citizens' Services,CA API Gateway Support Renewal (Victoria),ITQ-005881,Itq,2019/05/06,0,2019/05/13,CA Canada Company,Thornhill,"$35,939.00",2019/05/16,Ontario,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Construction of a roundabout,37332MJ0000,MOTITT,2019/05/07,1,2019/05/28,MasTec Canada Inc.,Calgary,"$5,851,599.41",2019/06/07,Alberta,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,SEC-AreaB2019,SEC-AREAB2019,RFP,2019/05/07,1,2019/05/20,Armour Security and Protection Services Corp,Vancouver,"$273,037.83",2019/06/01,British Columbia,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,SEC-FVA2019,SEC-FVA2019,RFP,2019/05/07,1,2019/05/20,Armour Security and Protection Services Corp,Vancouver,"$120,541.95",2019/06/01,British Columbia,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,SEC-GVA12019,SEC-GVA12019,RFP,2019/05/07,1,2019/05/20,Armour Security and Protection Services Corp,Vancouver,"$294,537.85",2019/06/01,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,BC Parks Concrete Toilet Floors,ENV20-BCP-100,ITQ,2019/05/07,0,2019/05/14,Leko Precast Ltd.,Vernon,"$18,050.00",2019/05/17,British Columbia,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,SEC-GVA22019,SEC-GVA22019,RFP,2019/05/07,1,2019/05/20,Armour Security and Protection Services Corp,Victoria,"$225,786.44",2019/06/01,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway No. 1 Southbound Bus Lanes Burnside Bridge to Tolmie Ave,16787MJ0001,MOTITT,2019/05/08,1,2019/05/15,Ralmax Contracting Ltd.,Victoria,"$6,923,266.54",2019/05/17,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Menzies Main FSR Road Deactivation,EN20NAN504,ITT,2019/05/09,1,2019/05/16,Shamrock Ventures Ltd.,Campbell River,"$99,400.00",2019/05/30,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Vancouver Island Permanent Sample Plot (PSP) Remeasurement,1070-30/OT20FHQ066,ITT,2019/05/09,1,2019/05/16,Hatch Woodlands Ltd.,Shawnigan Lake,"$58,120.00",2019/05/24,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Request for Qualifications-Building Concrete Rehabilitation,ON-003344,RQU,2019/05/10,1,2019/05/16,IEL Projects Ltd,Saanichton,$0.00,2019/05/27,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Developing a Climate Change Adaptation Interdependency Process,SFRP-ENG-50919,SRFP,2019/05/10,1,2019/05/23,Nodelcorp Consulting Inc,St Albert,"$50,400.00",2019/07/15,Alberta,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,Request for Qualifications-Building Concrete Rehabilitation,ON-003344,RQU,2019/05/10,1,2019/05/16,Retro Specialty Contractors Inc,Surrey,$0.00,2019/05/27,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms Support Renewal (Victoria),ITQ-005884,Itq,2019/05/13,0,2019/05/21,CDW Canada Inc,Etobicoke,"$142,120.29",2019/05/28,Ontario,Canada
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms Support Renewal (Victoria),ITQ-005885,Itq,2019/05/13,0,2019/05/21,CDW Canada Inc,Etobicoke,"$84,770.76",2019/05/28,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",As & When Terrain Stability Assesment for the North Districts,1070-20/NEGSTA,ITT,2019/05/13,1,2019/05/29,Westrek Geotechnical Services Ltd.,Terrace,"$51,400.00",2019/06/03,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Kalamalka Roof Replacement,1070-30/GS20FHQ065,ITT,2019/05/14,0,2019/06/10,N/A,,$0.00,2019/08/01,,
Procurement Services Branch,Ministry of Health,IBM Passport Advantage Renewal (Victoria),ITQ-005892,Itq,2019/05/14,0,2019/05/22,CDW Canada Inc,Etobicoke,"$175,045.13",2019/05/28,Ontario,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,14 Cattleguards (Savona and Kamloops),ITQ-005887,Itq,2019/05/14,0,2019/05/22,Shic Enterprises Ltd,Merritt,"$142,016.00",2019/05/28,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Marbled Murrelet Radar Surveys for South Coast and East VI,1070-30/SU20FHQ075SF,SRFP,2019/05/14,1,2019/05/22,Bernard Konrad Schroeder dba Bernard K. Schroeder Consulting,Nanaimo,"$65,000.00",2019/06/05,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,86002MJ4541,MOTITT,2019/05/14,1,2019/05/29,Chute Creek Construction Ltd.,Penticton,"$456,282.23",2019/06/06,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Treated Bridge Timber (Tuzo Creek Eugene FSR),ITQ-005893,Itq,2019/05/14,0,2019/05/23,Shy's Forest Products Ltd,Vancouver,"$15,456.00",2019/05/28,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,AR-NUIX-eDISREV Nuix eDiscovery (Victoria),ITQ-005895,Itq,2019/05/14,0,2019/05/21,Teel Technologies Canada,Victoria,"$12,134.08",2019/06/03,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Cisco 1000BASE-T SFP transceiver modules (Victoria),ITQ-005890,Itq,2019/05/14,0,2019/05/22,Powerland Computers Ltd.,Winnipeg,"$15,211.84",2019/05/28,Manitoba,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Unauthorized Occupation Clean Up,GS20LMN400,ITT,2019/05/15,0,2019/05/30,N/A,,$0.00,2019/06/19,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",LiDAR Acquisition for BCTS Areas 2019,OP20BMC018,ITQ,2019/05/15,1,2019/05/29,Eagle Mapping Ltd,Port Coquitlam,"$237,673.26",2019/06/05,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Boundary Predictive Forest Inventory (PFI) Photo Interpretation,1070-30/OT20FHQ049,ITT,2019/05/15,2,2019/05/21,Ecora Engineering and Resource Group Ltd.,Prince George,"$143,505.55",2019/05/23,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Thermoplastic, Crosshatch and Gore Paint Application",23353MJ0000,MOTITT,2019/05/15,1,2019/06/04,Sutton Road Marking Ltd.,Surrey,"$183,352.53",2019/06/11,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,"Art Integration Advisor, Pattullo Bridge Replacement Project ",PBR ART 2020 02,RFP,2019/05/15,1,2019/05/22,"V+M Structural Design, Inc.",Vancouver,"$225,000.00",2019/06/18,British Columbia,Canada
Procurement Services Branch,Ministry of Social Development and Poverty Reduction,IBM DB2 License renewal,ITQ-005896,Itq,2019/05/16,0,2019/05/24,CDW Canada Inc,Etobicoke,"$17,327.34",2019/05/31,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Geographical Information Systems (GIS) Mapping and Support,1070-30/IS20FHQ059,ITT,2019/05/16,2,2019/05/22,Certes Applied and Natural Sciences Ltd.,Kamloops,"$49,960.00",2019/05/21,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections - Stuart Nechako Dist,EN20PGN309,ITT,2019/05/16,1,2019/05/23,Solid Soil Solutions Ltd.,Prince George,"$33,785.00",2019/06/06,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections Mackenzie Res. Dist.,EN20PGN308,ITT,2019/05/16,1,2019/05/30,DWB Consulting Services Ltd.,Prince George,"$35,417.80",2019/06/05,British Columbia,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,SEC-AREAA2019,SEC-AREAA2019,RFP,2019/05/16,2,2019/05/20,Armour Security and Protection Services Corp,Vancouver,"$82,673.22",2019/06/01,British Columbia,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,SEC-GVA32019,SEC-GVA32019,RFP,2019/05/16,2,2019/05/20,Armour Security and Protection Services Corp,Vancouver,"$96,808.84",2019/06/01,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Netscout Maintenance Renewal and Standing Offer (Victoria),ITQ-005878,Itq,2019/05/16,1,2019/05/22,Scalar Decisions Inc.,Vancouver,"$76,582.22",2019/05/30,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Talon FAST Software License Renewal,ITQ-005899,Itq,2019/05/17,0,2019/05/27,"Talon Storage Solutions, Inc",Mount Laurel,"$15,000.00",2019/06/12,New Jersey,United States
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Scour Remediation Works,24542MJ0000,MOTITT,2019/05/17,3,2019/05/24,Yellowhead Road & Bridge (Kootenay) Ltd.,Prince George,"$498,431.00",2019/06/04,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Martha Creek Prov. Park Shouldering and Paving Asphalt Project,ENV20-BCP-010,ITQ,2019/05/17,0,2019/06/04,Terus Construction Ltd.,Revelstoke,"$180,818.03",2019/06/10,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections - Coast Mountain,EN20PGN303,ITT,2019/05/21,2,2019/05/22,Calbier Bridge & Design Limited,Campbell River,"$34,170.00",2019/05/30,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Invasive Plant Treatment North Peace and NRRM,IV20HRA627,SRFP,2019/05/21,1,2019/06/12,Michael Gordon Pangman dba MGP Contracting,Dawson Creek,"$94,726.00",2019/07/04,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Pine Pass Invasive Plant Inventory & Treatment,IV20HRA628,SRFP,2019/05/21,0,2019/06/12,Spectrum Resource Group Inc.,Prince George,"$95,999.70",2019/07/04,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",NOTICE OF INTENT TO DIRECT AWARD,GS208190002,DirectAward,2019/05/21,0,2019/05/31,Sidina Consulting,Prince George,"$54,900.00",2019/05/31,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,800 Robson Street-Plaza Development,ON-003234,ITT,2019/05/21,8,2019/05/23,Jacob Bros Construction Inc,Surrey,"$4,106,000.00",2019/05/30,British Columbia,Canada
Ministry of Finance,Ministry of Finance,Project Director: Strategic Revenue Management,10425,RFP,2019/05/21,3,2019/05/23,Seafram Consultants Inc.,Victoria,$0.00,2019/07/23,British Columbia,Canada
