Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Peter Hope Lake and Glimpse Lake Recreation Site Operator,PA(22)DCS-001,RFP,2021/03/16,0,2021/04/13,Julie Van Koll,Merritt,British Columbia,Canada,$1.00,2021/04/01
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Recreation Site Maintenance Horsefly,RC22275003,ITT,2021/03/01,0,2021/04/01,Doug Kirkby dba Nehalliston Landscaping,100 Mile House,British Columbia,Canada,"$15,990.00",2021/04/01
"Ministry of Jobs, Economic Recovery and Innovation","Ministry of Jobs, Economic Recovery and Innovation",BC Supply Chain Resiliency and Value-Added Manufacturing Program,RFP21-JERI-17,RFP,2021/03/01,3,2021/03/09,PricewaterhouseCoopers LLP,Victoria,British Columbia,Canada,"$237,000.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,Clinical Counsellor,RFQ CP-01-19,RQU,2019/01/18,0,2019/02/15,Naj Consulting Inc,Surrey,British Columbia,Canada,"$50,000.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,RFQ CP-01-21 Clinical Counsellor,RFQ CP-01-21,RQU,2021/03/23,5,2021/03/26,Naj Consulting Inc,Surrey,British Columbia,Canada,"$110,000.00",2021/04/01
Ministry of Attorney General,Ministry of Attorney General,RFQ CP-01-21 Clinical Counsellor,RFQ CP-01-21,RQU,2021/03/23,5,2021/03/26,Naj Consulting,Surrey,British Columbia,Canada,"$110,000.00",2021/04/01
"Ministry of Agriculture, Food and Fisheries","Ministry of Agriculture, Food and Fisheries",BC Turkey Blackhead Study,SCA21CP015,DirectAward,2021/03/18,0,2021/04/01,BC Turkey Marketing Board,Victoria,British Columbia,Canada,"$25,000.00",2021/04/01
Ministry of Children and Family Development,Ministry of Children and Family Development,XCN2020111RFP Child Protection Mediation Program (CPMP),XCN2020111RFP,RFP,2020/09/16,1,2020/09/30,Mediate BC Society,Vancouver,British Columbia,Canada,"$7,499,996.00",2021/04/01
Ministry of Children and Family Development,Ministry of Children and Family Development,XCN2021013NOI – MCFD Quality Assurance Advisor,XCN2021013NOI,NOI,2021/03/09,0,2021/03/17,Zaheera Jinnah,Victoria,British Columbia,Canada,"$9,600.00",2021/04/01
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Fish and Wildlife Inventory Data Loading,46904250,SRFP,2021/01/25,0,2021/02/16,Phyla Biological Consulting Ltd.,Salmon Arm,British Columbia,Canada,"$100,000.00",2021/04/02
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Temporary Body Storage in Duncan area ,BCCS21NOI706B,NOI,2020/10/21,0,2020/11/04,N/A,,,,$0.00,2021/04/06
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Standing Offer for 3/4"" GHT, Full-Flow Shut-off Valves",ITQ-006585R,Itq,2021/03/18,0,2021/03/26,Wasp Manufacturing Ltd.,Kelowna,British Columbia,Canada,$0.00,2021/04/06
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Propsal: Site operator at Mitten Lake,PA21-DRMN-001,RFP,2021/02/09,1,2021/03/25,Roy Hardy,Rossland,British Columbia,Canada,$1.00,2021/04/06
Procurement Services Branch,Ministry of Transportation and Infrastructure,Fabricate/Store/Supply bridge materials (Haida Gwaii),ITQ-006616,Itq,2021/03/26,1,2021/03/30,Surespan Structures Ltd.,Duncan,British Columbia,Canada,"$264,751.64",2021/04/07
Ministry of Attorney General,Ministry of Attorney General,Step Code Metrics Research Report Update,SRFP-11966,SRFP,2021/03/09,3,2021/03/11,EVOKE BUILDINGS ENGINEERING INCORPORATED,Vancouver,British Columbia,Canada,"$67,180.00",2021/04/07
Procurement Services Branch,Ministry of Public Safety & Solicitor General & Emergency B.C.,"Two million Burlap Sandbags with Ties (Chilliwack, BC)",ITQ-006619,Itq,2021/03/26,2,2021/03/30,NYP Corporation,Elizabeth,New Jersey,United States,"$1,246,350.00",2021/04/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Southern Interior Region Pavement Crack Sealing 2021,25329MJ0000,MOTITT,2021/03/18,0,2021/04/01,Seal Tec Industries Ltd.,Langley,British Columbia,Canada,"$464,520.00",2021/04/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Southern Interior Region Pavement Crack Sealing 2021,25329MJ0000,MOTITT,2021/03/18,0,2021/04/01,Seal Tec Industries Ltd.,Langley,British Columbia,Canada,"$464,520.00",2021/04/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-in-Place Recycling (HIPR) 2021/22 Hwy 16 and Hwy 97 ,37919MJ0000,MOTITT,2021/03/17,0,2021/03/31,Green Roads Recycling Ltd.,Fernie,British Columbia,Canada,"$5,762,276.50",2021/04/08
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-in-Place Recycling (HIPR) 2021/22 Hwy 16 and Hwy 97 ,37919MJ0000,MOTITT,2021/03/17,0,2021/03/31,Green Roads Recycling Ltd.,Fernie,British Columbia,Canada,"$5,762,276.50",2021/04/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",“As and When” Geoscience Services,EN22ITTGEOSCI,ITT,2021/03/12,1,2021/03/30,Various - 3 Contracts - See Releases,Nanaimo,British Columbia,Canada,$0.00,2021/04/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",“As and When” Geotechnical Engineering Services,EN22ITTGEOTECH,ITT,2021/03/10,0,2021/03/30,Various - 3 Contracts - See Releases,Salmon Arm,British Columbia,Canada,$0.00,2021/04/08
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",“As and When” Roads Engineering Services,EN22ITTROADSENG,ITT,2021/03/10,0,2021/03/30,Various - 3 Contracts - See Releases,Campbell River,British Columbia,Canada,$0.00,2021/04/08
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Pedestrian Aluminum Bridge (CR-2431)  Campbell River,ITQ-006617,Itq,2021/03/24,1,2021/03/31,Express Custom Trailer Manufacturing Inc,Parksville,British Columbia,Canada,"$9,596.16",2021/04/08
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Request for Proposals - TCH Program Due Diligence Advisors,TCHDD001,RFP,2021/02/22,3,2021/02/25,N/A,,,,$0.00,2021/04/08
