Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Power Distribution Switch Installation - Skimikin,1070-30/GS22FHQ002,SRFP,2021/03/01,0,2021/03/29,Glenn Power Contractors (1994) Ltd,Salmon Arm,British Columbia,Canada,"$57,153.20",2021/04/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Maintenance/Management Hydraulic Lake and McCulloch Reservoir,PA21DOS-06,RFP,2021/02/23,0,2021/04/01,Zamonsky,Kelowna,British Columbia,Canada,"$39,000.00",2021/04/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",IDFDK3 RESEARCH TRIAL TREE PLANTING,PL22WLN001,ITQ,2021/04/06,1,2021/04/09,Zanzibar Holdings Ltd.,North Vancouver,British Columbia,Canada,"$110,013.30",2021/04/09
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Roof Replacement at Kalamalka and Bailey Seed Orchards,1070-30/GS22FHQ005,ITT,2021/02/17,0,2021/03/17,Central Roofing Systems Ltd,Langley,British Columbia,Canada,"$57,500.00",2021/04/12
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mechanical Lift Inspections at Various Seed Orchards,1070-30/GS22FHQ008,ITQ,2021/03/11,1,2021/03/11,N/A,,,,$0.00,2021/04/12
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mechanical Lift Inspections at Various Seed Orchards,1070-30/GS22FHQ008,ITQ,2021/03/11,1,2021/03/11,N/A,,,,$0.00,2021/04/12
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"HWY 31, Kaslo Bridge No. 907 and Approaches",24589MJ0000,MOTITT,2021/03/26,1,2021/04/08,BD Hall Constructors Corp.,Surrey,British Columbia,Canada,"$6,194,645.00",2021/04/12
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Inlaid durable pavement markings in the Northern Region,37914MJ0000,MOTITT,2021/03/05,1,2021/03/30,Andesite Holdings Ltd. Dba Yellowhead Pavement Marking Inc.,Terrace,British Columbia,Canada,"$197,534.50",2021/04/12
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Premier Lake Provincial Park -Premier Lake Water System Upgrades,ENV22-BCPKO-05,ITT,2021/03/24,2,2021/03/31,Momentum Mountain Solutions,Kimberley,British Columbia,Canada,"$107,900.00",2021/04/12
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Silviculture Suveys in Various Locations Throughout PG,SU22DPG705,ITT,2021/03/10,1,2021/03/19,Pathocon Consulting,Prince George,British Columbia,Canada,"$61,650.00",2021/04/12
Procurement Services Branch,Ministry of Advanced Education & Skills Training,Tableau Server-Core Commercial License and setup for an 8-core s,ITQ-006555,Itq,2021/02/25,3,2021/03/02,Newcomp Analytics Inc,Thornhill,Ontario,Canada,"$202,811.39",2021/04/12
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.","Road Works, Zeballos and Fair Harbour FSRs",EN22NAN501,ITT,2021/03/08,0,2021/03/30,Totem Excavating Ltd.,Zeballos,British Columbia,Canada,"$1,511,346.25",2021/04/12
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Omineca River Bridge Debris Removal in the Mackenzie FD,10005-40/EN22DMK004,ITT,2021/03/09,0,2021/03/24,Lepka Holdings Ltd.,Fort St James,British Columbia,Canada,$0.00,2021/04/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Maintenance - Thutade Forest Service Road,11250-85/EN22DMK003,ITT,2021/03/05,0,2021/03/24,Lepka Holdings Ltd.,Fort St James,British Columbia,Canada,$0.00,2021/04/13
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Road Resurfacing: Hwy 1 Nanaimo and Yellow Point Road,16930MJ2021,MOTITT,2021/03/29,1,2021/04/07,Lafarge Canada Inc. Dba Hub City Paving,Nanaimo,British Columbia,Canada,"$3,172,948.00",2021/04/13
Procurement Services Branch,Ministry of Citizens' Services,IBM WebSphere Support Renewal,ITQ-006621,Itq,2021/03/24,0,2021/04/01,CDW Canada Corp.,Etobicoke,Ontario,Canada,"$104,235.78",2021/04/13
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Design, fabricate, supply, concrete slab Bridge N1-182 Cranbrook",ITQ-006622,Itq,2021/03/25,0,2021/04/06,Pioneer Precast Products,Chilliwack,British Columbia,Canada,"$129,320.80",2021/04/13
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Phytoplankton Sample Analysys - Arrow Lake Res & Kootenay Lk,OP22NLE009/1070-20,ITQ,2021/03/16,1,2021/03/30,Advanced Eco-Solutions Inc,Newman Lake,Washington,United States,"$32,040.00",2021/04/14
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Graded Aggregate Sealcoat on Highway 16 and Old Babine Lake Road,37918MJ0000,MOTITT,2021/03/25,0,2021/04/13,O.K. Industries Ltd.,Saanichton,British Columbia,Canada,"$2,298,587.50",2021/04/14
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Graded Aggregate Sealcoat on Highway 16 and Old Babine Lake Road,37918MJ0000,MOTITT,2021/03/25,0,2021/04/13,O.K. Industries Ltd.,Saanichton,British Columbia,Canada,"$2,298,587.50",2021/04/14
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,KIKOMUN CREEK PROVINCIAL PARK PLAYGROUND INSTALLATION,ENV22-BCPKO-07,ITT,2021/03/18,2,2021/04/01,Momentum Mountian Solutions Ltd.,Kimberley,British Columbia,Canada,"$57,450.00",2021/04/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Excavator & Lowbed for Wildfire Rehab- Quesnel District -Cariboo,EQ22RDQ001,ITT,2021/03/09,1,2021/04/08,I.T. Falling Ltd.,Kamloops,British Columbia,Canada,"$64,640.00",2021/04/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Excavator & Lowbed for Wildfire Rehab- Quesnel District -Cariboo,EQ22RDQ002,ITT,2021/03/09,0,2021/04/08,Civil North Consulting Ltd,Prince George,British Columbia,Canada,"$59,040.00",2021/04/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Excavator & Dump Truck/Trailer Combo- Wildfire Rehab- Quesnel,EQ22RDQ004,ITT,2021/03/30,1,2021/04/08,Esdilagh Development Corporation,Quesnel,British Columbia,Canada,"$66,400.00",2021/04/14
Procurement Services Branch,Ministry of Transportation and Infrastructure,Dash Cameras - Kamloops BC,ITQ-006599,Itq,2021/03/26,2,2021/04/06,"Motion Industries (Canada), Inc",Kamloops,British Columbia,Canada,"$81,942.00",2021/04/14
Procurement Services Branch,Ministry of Transportation and Infrastructure,Dash Cameras - Kamloops BC,ITQ-006599,Itq,2021/03/26,2,2021/04/06,Rose Security Services Inc,Port Coquitlam,British Columbia,Canada,"$98,092.50",2021/04/14
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,NFPC Community Reintegration Services,NFPCCRS2022,ITQ,2021/03/16,1,2021/03/24,John Howard Society Pacific,Vancouver,British Columbia,Canada,"$74,500.00",2021/04/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Zooplankton & Mysid Sample Analys-Arrow Lakes Res & Kootenay Lk,OP22NLE008/1070-20,ITQ,2021/03/16,0,2021/03/30,Limno Lab Ltd,Vancouver,British Columbia,Canada,"$58,240.00",2021/04/14
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Wasa Lake Provincial Park-Wasa Compound Water Treatment Upgrades,ENV22-BCPKO-04,ITT,2021/03/24,2,2021/03/31,Stephen Engineering Associates,Wardner,British Columbia,Canada,"$198,688.08",2021/04/14
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Structural Lift Inspections at Various Seed Orchard Sites,1070-30/GS22FHQ001,ITQ,2021/02/25,1,2021/03/04,Inter-Mtn. Testing Ltd,Kelowna,British Columbia,Canada,"$8,950.00",2021/04/15
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Road Resurfacing:Highway 99 Whistler Area (11.1 Lane Km),13039MJ2021,MOTITT,2021/04/01,1,2021/04/13,Alpine Paving (1978) Ltd.,Burnaby,British Columbia,Canada,"$2,394,546.80",2021/04/15
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Road Resurfacing Courtenay Hwy 19A and Lake Trail Road,16933MJ2021,MOTITT,2021/03/31,1,2021/04/08,O.K. Industries Ltd.,Courtenay,British Columbia,Canada,"$5,166,477.50",2021/04/15
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Body Removal and Transport - Sea-to-Sky ,BCCS21NOI709A,NOI,2021/03/30,0,2021/04/13,Squamish Funeral Chapel Ltd.,Garibaldi Highlands,British Columbia,Canada,"$185,000.00",2021/04/15
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Standing Offer Camping Stove, Canopy, Propane, Mechanic wire",ITQ-006600,Itq,2021/03/09,0,2021/03/18,Campers Village,Edmonton,Alberta,Canada,$0.00,2021/04/15
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Standing Offer Camping Stove, Canopy, Propane, Mechanic wire",ITQ-006600,Itq,2021/03/09,0,2021/03/18,"Prototype Integrated Solutions, Inc.",Langley,British Columbia,Canada,$0.00,2021/04/15
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Standing Offer Camping Stove, Canopy, Propane, Mechanic wire",ITQ-006600,Itq,2021/03/09,0,2021/03/18,WESTERN WATER AND GAS PRODUCTS LTD.,Surrey,British Columbia,Canada,$0.00,2021/04/15
