Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hwy 97A Swan Lk O/P to Pleasant Valley Rd CMB Installation,25193MJ0004,MOTITT,2022/08/04,0,2022/08/25,Kon Kast Concrete Products Inc.,Kelowna,British Columbia,Canada,"$1,537,427.89",2022/09/13,
Ministry of Public Safety & Solicitor General & Emergency B.C.,Ministry of Public Safety & Solicitor General & Emergency B.C.,Indigenous Cultural Liaison,ACCWICL2021C,SRFP,2022/02/01,2,2022/02/07,N/A,,,,$0.00,2022/09/13,
Ministry of Forests,Ministry of Forests,Road Maintenance on Duncan/Glacier FSR - Selkirk Forest District,EN23DSE006,ITT,2022/08/18,0,2022/08/31,Brenton Industries Ltd.,Kaslo,British Columbia,Canada,"$176,572.00",2022/09/13,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Douglas-fir Bark Beetle Surveys and Treatment Layout-CCBA       ,FH23TLH005,ITT,2022/07/19,0,2022/08/17,Juan Ditoro dba Q1 Contracting,Quesnel,British Columbia,Canada,"$95,460.00",2022/09/13,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Phibbs Transit Exchange Improvements,13038MJ2022,MOTITT,2022/08/18,6,2022/08/25,Conwest Contracting Ltd.,Vancouver,British Columbia,Canada,"$17,190,410.00",2022/09/12,
Ministry of Forests,Ministry of Forests,Finlay-Chunamon FSR Road Construction 71.2-7.48km,EN23PGN325,MOTITT,2022/06/29,0,2022/07/20,N/A,,,,$0.00,2022/09/09,
Ministry of Environment and Climate Change Strategy,,,CP23KAE012,ITT,,0,,N/A,,,,$0.00,2022/09/08,
Ministry of Forests,Ministry of Forests,"Maryland/Boundary FSR, Branch 7 and Branch 8 Deactivation",EN23DSE007,ITT,2022/08/11,0,2022/08/25,C.HI.L. Logging Ltd.,Cranbrook,British Columbia,Canada,"$73,700.00",2022/09/08,
Ministry of Forests,Ministry of Forests,Archaeological Services-Selkirk Forest District: Wildfire Rehab,GS23DSE009,ITT,2022/08/10,0,2022/08/24,Ursus Heritage Consulting Ltd.,Coldstream,British Columbia,Canada,"$32,300.00",2022/09/08,
Ministry of Forests,Ministry of Forests,Major- Mummary Bridge Berm/Rip Rap Installation at N3-014 Blaebr,EN23474034,ITT,2022/07/22,1,2022/08/23,N/A,,,,$0.00,2022/09/07,
Ministry of Forests,,,OT23FHQ165,ITT,,0,,Certes Applied & Natural Resources LTD,Kamloops,British Columbia,,"$5,680.00",2022/09/07,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Culvert Extension and Creek Liner Tie In,22440MJ0006,MOTITT,2022/08/17,1,2022/08/24,557969 BC Ltd. dba: Superior Excavating Ltd.,Peachland,British Columbia,Canada,"$996,545.00",2022/09/06,
Ministry of Forests,Ministry of Forests,KVR West Rail Trail Maintenance-Structure KV-039(22km West of,EN23474037,ITT,2022/08/17,2,2022/08/24,CRL Group Holdings Inc.,Summerland,British Columbia,Canada,"$185,040.00",2022/09/06,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Road Construction - BCTS White Lake and Ireland Operating Areas,EN23TKJ054,ITT,2022/07/22,1,2022/08/19,N/A,,,,$0.00,2022/09/06,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Preliminary Planning and Reconnaissance – Various Loc WL TSA,PD23TLE007,ITT,2022/07/26,0,2022/08/25,Coastal Natural Resource Management Ltd.,Vancouver,British Columbia,Canada,"$471,800.00",2022/09/06,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,East Peacock FSR Construction (Morice TSA) ,EN23TAH3402,ITT,2022/07/28,0,2022/08/23,Groot Bros. Contracting Ltd.,Houston,Texas,United States,"$313,710.11",2022/09/02,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,East Peacock FSR Construction (Morice TSA) ,EN23TAH3402,ITT,2022/07/28,0,2022/08/23,Groot Bros. Contracting Ltd.,Houston,Texas,United States,"$313,710.11",2022/09/02,
