Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Hard Hats & Accessories,ITQ-006123,Itq,2020-01-31,0,2020-02-11,HTT Safety 'N' More Inc.,Port Coquitlam,$0.00,2020-02-24,British Columbia,Canada
Procurement Services Branch,Ministry of Attorney General,Supply & Delivery of Ammunition (various locations),ITQ-006133,Itq,2020-02-10,1,2020-02-18,0734089 B.C. Ltd.,Fort St John,"$44,755.20",2020-02-24,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Ungulate Guard (Cranbrook),ITQ-006143,Itq,2020-02-11,0,2020-02-20,McGrath Contracting Ltd.,Campbell River,"$151,928.00",2020-02-24,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-In-Place Recycling H16 Nouch Rd to Ft Telkwa (47.9 Lane Km),37726MJ0000,MOTITT,2020-01-24,0,2020-02-20,Peter’s Bros. Construction Ltd.,Penticton,"$2,865,211.00",2020-02-25,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Hot-In-Place Recycling H16 Nouch Rd to Ft Telkwa (47.9 Lane Km),37726MJ0000,MOTITT,2020-01-24,0,2020-02-20,Peter’s Bros. Construction Ltd.,Penticton,"$2,865,211.00",2020-02-25,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Bear Creek Prov Park - Loop #3 Reconstruction,2929712,ITT,2020-01-29,0,2020-02-20,Sun-Oak Construction Ltd,Penticton,"$74,118.00",2020-02-25,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Beam Saddles (E.C. Manning Park),ITQ-006121,Itq,2020-02-04,1,2020-02-07,McGrath Contracting LTD,Campbell River,"$2,934.40",2020-02-25,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,Precast Concrete Footings (E.C. Manning Park),ITQ-006120,Itq,2020-02-05,1,2020-02-07,First Peak Contracting Ltd.,Squamish,"$24,158.40",2020-02-25,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Request for Standing Offer for Amsoil Synthetic Oil,ITQ-006125,Itq,2020-02-05,1,2020-02-12,Amsoil Inc.,Superior,$0.00,2020-02-25,Wisconsin,United States
Procurement Services Branch,Ministry of Transportation and Infrastructure,6 Cattleguards (Fort St. John),ITQ-006136,Itq,2020-02-11,0,2020-02-19,Westower Communications Ltd.,Surrey,"$91,007.62",2020-02-25,British Columbia,Canada
Procurement Services Branch,Ministry of Public Safety and Solicitor General,Supply & Delivery of Nikon Microscope and accessories (Victoria),ITQ-006141,Itq,2020-02-12,0,2020-02-20,Nikon Canada Inc.,Mississauga,"$19,557.37",2020-02-25,Ontario,Canada
